# Parameters
#AUC	Inverted	ACC	OT	fp	tp	N	P
0.879889	+	0.951681	0.542000	0.006681	0.187879	27241	1485
# ROC Points
#fp	tp
0.001982	0.077441
0.001982	0.078114
0.001982	0.078788
0.001982	0.082828
0.001982	0.083502
0.002019	0.083502
0.002056	0.083502
0.002203	0.084175
0.002239	0.084848
0.002276	0.086869
0.002276	0.087542
0.002276	0.089562
0.002349	0.090236
0.002349	0.090909
0.002349	0.091582
0.002349	0.092256
0.002460	0.092256
0.002460	0.092929
0.002460	0.093603
0.002533	0.094276
0.002533	0.096970
0.002533	0.097643
0.002570	0.097643
0.002570	0.098316
0.002643	0.098316
0.002643	0.098990
0.002643	0.100337
0.002643	0.101010
0.002643	0.102357
0.002680	0.102357
0.002680	0.103030
0.002827	0.103030
0.002827	0.103704
0.002863	0.103704
0.002900	0.103704
0.002900	0.105051
0.002900	0.105724
0.002973	0.106397
0.003010	0.107071
0.003010	0.107744
0.003010	0.110438
0.003084	0.111785
0.003120	0.111785
0.003157	0.113131
0.003194	0.113805
0.003267	0.113805
0.003304	0.114478
0.003341	0.115152
0.003377	0.115825
0.003414	0.117172
0.003414	0.117845
0.003451	0.117845
0.003451	0.118519
0.003487	0.118519
0.003524	0.118519
0.003524	0.119865
0.003598	0.119865
0.003598	0.120539
0.003634	0.120539
0.003708	0.120539
0.003781	0.120539
0.003891	0.121212
0.004001	0.121212
0.004001	0.122559
0.004038	0.123232
0.004075	0.123906
0.004111	0.123906
0.004148	0.123906
0.004148	0.124579
0.004148	0.126599
0.004185	0.126599
0.004222	0.127273
0.004295	0.129293
0.004332	0.130640
0.004368	0.131987
0.004405	0.132660
0.004479	0.134007
0.004515	0.134007
0.004515	0.134680
0.004589	0.135354
0.004625	0.136027
0.004625	0.138047
0.004662	0.140067
0.004662	0.141414
0.004699	0.141414
0.004736	0.141414
0.004772	0.142088
0.004809	0.142088
0.004809	0.142761
0.004956	0.142761
0.004992	0.144781
0.005029	0.144781
0.005029	0.145455
0.005066	0.145455
0.005066	0.146128
0.005103	0.146801
0.005139	0.148148
0.005176	0.149495
0.005176	0.150168
0.005213	0.150842
0.005249	0.150842
0.005323	0.152189
0.005323	0.152862
0.005396	0.152862
0.005396	0.153535
0.005470	0.154882
0.005543	0.154882
0.005580	0.155556
0.005617	0.156229
0.005727	0.158249
0.005800	0.158249
0.005910	0.158249
0.005910	0.162290
0.005947	0.162290
0.006020	0.164310
0.006057	0.165657
0.006094	0.166330
0.006094	0.169024
0.006130	0.169024
0.006130	0.169697
0.006167	0.170370
0.006204	0.171717
0.006204	0.173064
0.006241	0.173064
0.006277	0.173064
0.006314	0.173737
0.006314	0.174411
0.006424	0.174411
0.006461	0.174411
0.006498	0.175758
0.006534	0.179125
0.006534	0.179798
0.006534	0.181818
0.006534	0.183838
0.006681	0.187879
0.006755	0.187879
0.006865	0.188552
0.006975	0.188552
0.007048	0.189226
0.007085	0.189226
0.007232	0.189226
0.007305	0.189226
0.007342	0.189226
0.007379	0.189226
0.007452	0.189899
0.007525	0.189899
0.007562	0.189899
0.007599	0.191246
0.007599	0.191919
0.007636	0.192593
0.007709	0.192593
0.007782	0.193266
0.007782	0.194613
0.007856	0.196633
0.007929	0.197306
0.007929	0.198653
0.007966	0.198653
0.008003	0.199327
0.008003	0.200000
0.008076	0.200673
0.008113	0.203367
0.008223	0.203367
0.008406	0.203367
0.008517	0.204714
0.008590	0.206061
0.008590	0.206734
0.008627	0.207407
0.008700	0.207407
0.008737	0.210101
0.008810	0.211448
0.008920	0.211448
0.008957	0.211448
0.008994	0.211448
0.008994	0.212121
0.008994	0.212795
0.008994	0.214141
0.009031	0.214815
0.009031	0.216162
0.009067	0.216162
0.009104	0.216162
0.009141	0.216162
0.009214	0.216162
0.009214	0.217508
0.009251	0.218855
0.009251	0.220202
0.009324	0.220202
0.009324	0.220875
0.009361	0.220875
0.009398	0.220875
0.009434	0.221549
0.009581	0.222222
0.009581	0.222896
0.009581	0.224242
0.009655	0.224242
0.009655	0.224916
0.009691	0.225589
0.009728	0.226936
0.009912	0.227609
0.009948	0.229630
0.010095	0.230303
0.010168	0.230303
0.010205	0.230303
0.010315	0.230303
0.010352	0.230976
0.010389	0.232323
0.010425	0.232323
0.010536	0.233670
0.010609	0.235690
0.010719	0.235690
0.010866	0.237037
0.010903	0.237710
0.010976	0.238384
0.010976	0.240404
0.011050	0.240404
0.011160	0.242424
0.011196	0.243098
0.011196	0.243771
0.011270	0.243771
0.011306	0.243771
0.011563	0.243771
0.011710	0.243771
0.011784	0.245118
0.011857	0.245118
0.011931	0.245118
0.011967	0.246465
0.012004	0.247138
0.012041	0.248485
0.012077	0.248485
0.012151	0.248485
0.012151	0.249158
0.012188	0.249832
0.012188	0.251178
0.012261	0.251852
0.012371	0.252525
0.012481	0.252525
0.012628	0.253199
0.012665	0.253199
0.012665	0.255892
0.012775	0.257239
0.012848	0.257239
0.012958	0.257912
0.012958	0.258586
0.013069	0.258586
0.013142	0.258586
0.013179	0.259933
0.013252	0.260606
0.013289	0.261279
0.013326	0.261279
0.013399	0.263300
0.013509	0.265320
0.013582	0.265993
0.013656	0.267340
0.013766	0.269360
0.013876	0.270034
0.014096	0.270034
0.014170	0.270034
0.014317	0.271380
0.014427	0.272054
0.014537	0.273401
0.014610	0.274074
0.014684	0.274074
0.014720	0.274074
0.014794	0.274074
0.014867	0.275421
0.014941	0.275421
0.015051	0.275421
0.015051	0.276094
0.015124	0.276094
0.015161	0.276094
0.015234	0.278114
0.015381	0.278788
0.015565	0.280808
0.015638	0.280808
0.015712	0.280808
0.015822	0.280808
0.016042	0.281481
0.016152	0.282828
0.016152	0.285522
0.016226	0.288889
0.016299	0.290236
0.016372	0.290909
0.016483	0.290909
0.016593	0.291582
0.016703	0.292256
0.016776	0.292256
0.016850	0.292256
0.016960	0.292929
0.016960	0.293603
0.016996	0.293603
0.017033	0.295623
0.017143	0.296296
0.017217	0.297643
0.017290	0.298990
0.017290	0.299663
0.017437	0.299663
0.017620	0.301010
0.017694	0.301010
0.017841	0.301684
0.017951	0.302357
0.018061	0.302357
0.018208	0.303704
0.018245	0.304377
0.018281	0.304377
0.018355	0.307071
0.018465	0.307744
0.018612	0.308418
0.018722	0.309764
0.018869	0.310438
0.019015	0.310438
0.019236	0.311111
0.019346	0.311785
0.019493	0.312458
0.019640	0.313805
0.019750	0.315152
0.019860	0.315825
0.019933	0.317845
0.020080	0.318519
0.020190	0.319865
0.020337	0.321212
0.020557	0.322559
0.020631	0.324579
0.020704	0.325253
0.020998	0.326599
0.021145	0.327273
0.021291	0.327946
0.021585	0.329293
0.021695	0.329966
0.021879	0.330640
0.021989	0.331313
0.022026	0.332660
0.022172	0.333333
0.022319	0.334680
0.022466	0.338047
0.022576	0.338047
0.022576	0.338721
0.022613	0.338721
0.022613	0.339394
0.022833	0.339394
0.022980	0.340741
0.023090	0.341414
0.023200	0.341414
0.023347	0.342088
0.023494	0.342088
0.023604	0.343434
0.023714	0.345455
0.023935	0.348822
0.024081	0.348822
0.024155	0.348822
0.024265	0.349495
0.024265	0.350168
0.024375	0.350168
0.024522	0.352862
0.024559	0.354882
0.024742	0.355556
0.024889	0.356902
0.024962	0.356902
0.024999	0.360943
0.025183	0.362963
0.025329	0.363636
0.025550	0.367003
0.025954	0.367003
0.026064	0.367003
0.026321	0.369024
0.026504	0.369024
0.026651	0.369697
0.026724	0.369697
0.026908	0.370370
0.027165	0.373064
0.027238	0.373737
0.027495	0.375084
0.027679	0.375758
0.028046	0.377778
0.028523	0.378451
0.028890	0.378451
0.029037	0.380471
0.029331	0.381145
0.029551	0.382492
0.029808	0.383165
0.029955	0.383838
0.030138	0.385185
0.030469	0.387205
0.030652	0.387879
0.030873	0.390572
0.031093	0.391919
0.031350	0.392593
0.031607	0.393266
0.031790	0.395960
0.031974	0.395960
0.032304	0.395960
0.032378	0.396633
0.032451	0.396633
0.032708	0.397980
0.033038	0.398653
0.033149	0.399327
0.033295	0.400673
0.033442	0.402020
0.033516	0.403367
0.033773	0.405387
0.033919	0.406734
0.034066	0.407407
0.034323	0.407407
0.034617	0.410101
0.034947	0.410774
0.035204	0.410774
0.035314	0.412795
0.035461	0.414141
0.035682	0.417508
0.035865	0.418182
0.036232	0.419529
0.036452	0.419529
0.036746	0.420875
0.036820	0.422222
0.036966	0.422222
0.037113	0.422896
0.037150	0.424916
0.037370	0.426263
0.037627	0.427609
0.037811	0.427609
0.038141	0.428283
0.038398	0.428956
0.038545	0.428956
0.038728	0.428956
0.038765	0.430976
0.039059	0.430976
0.039242	0.432323
0.039316	0.432997
0.039536	0.432997
0.039720	0.432997
0.039866	0.432997
0.040270	0.433670
0.040454	0.435017
0.040821	0.436364
0.040968	0.437037
0.041114	0.437037
0.041335	0.438384
0.041371	0.439731
0.041592	0.439731
0.041812	0.441077
0.042179	0.443098
0.042436	0.443098
0.042656	0.443771
0.042913	0.444444
0.043060	0.445118
0.043390	0.446465
0.043537	0.447138
0.043721	0.449158
0.043978	0.450505
0.044198	0.452525
0.044455	0.452525
0.044785	0.453199
0.045042	0.453872
0.045263	0.453872
0.045630	0.454545
0.045887	0.456566
0.046144	0.457912
0.046511	0.457912
0.046804	0.458586
0.046988	0.459933
0.047429	0.461279
0.047539	0.461279
0.047832	0.462626
0.048016	0.463973
0.048273	0.465320
0.048640	0.465993
0.049080	0.466667
0.049411	0.468013
0.049741	0.468687
0.049998	0.468687
0.050329	0.470707
0.050659	0.470707
0.050842	0.473401
0.051173	0.474074
0.051687	0.474074
0.051870	0.474747
0.052164	0.475421
0.052494	0.476094
0.052898	0.477441
0.053192	0.478114
0.053375	0.479461
0.053853	0.480135
0.054146	0.481481
0.054440	0.482828
0.054697	0.483502
0.054991	0.484175
0.055248	0.484175
0.055615	0.484848
0.055908	0.485522
0.056275	0.487542
0.056606	0.488215
0.056900	0.488889
0.057340	0.489562
0.057634	0.490909
0.057744	0.492256
0.058038	0.494949
0.058368	0.497643
0.058551	0.497643
0.058919	0.498990
0.059102	0.501010
0.059543	0.502357
0.059946	0.504377
0.060387	0.506397
0.060681	0.507744
0.061158	0.510438
0.061562	0.512458
0.061782	0.513131
0.062039	0.513805
0.062259	0.517172
0.062626	0.518519
0.063067	0.519865
0.063287	0.521212
0.063764	0.521212
0.064278	0.521886
0.064682	0.525253
0.064939	0.525926
0.065306	0.527946
0.065783	0.528620
0.066224	0.529966
0.066517	0.532660
0.066921	0.536700
0.067288	0.538721
0.067582	0.541414
0.068206	0.542761
0.068463	0.543434
0.068757	0.544108
0.069234	0.544108
0.069454	0.547475
0.070115	0.549495
0.070702	0.551515
0.071253	0.552189
0.071510	0.552862
0.072097	0.555556
0.072574	0.557576
0.072795	0.557576
0.073345	0.558249
0.073749	0.559596
0.074153	0.561616
0.074520	0.564310
0.075144	0.567003
0.076025	0.570370
0.076392	0.572391
0.077347	0.573737
0.078191	0.575084
0.078631	0.577104
0.079329	0.577778
0.079880	0.580471
0.080430	0.583838
0.081311	0.585859
0.081935	0.587879
0.082780	0.589899
0.083367	0.592593
0.083844	0.593939
0.084762	0.593939
0.085423	0.595960
0.086267	0.596633
0.087185	0.598653
0.088286	0.598653
0.088984	0.600673
0.089975	0.603367
0.090562	0.604714
0.091553	0.608754
0.092214	0.612121
0.092985	0.613468
0.093792	0.614815
0.094453	0.617508
0.095444	0.620202
0.096289	0.623569
0.097353	0.626263
0.098491	0.629630
0.099703	0.632323
0.100620	0.634343
0.101685	0.636364
0.102529	0.638384
0.103704	0.640404
0.104732	0.643771
0.106420	0.645118
0.107999	0.648485
0.109210	0.652525
0.110715	0.655892
0.112367	0.660606
0.113799	0.664646
0.115341	0.666667
0.116809	0.670707
0.118535	0.674747
0.119673	0.679461
0.121471	0.683502
0.123343	0.686869
0.124775	0.690909
0.126904	0.696296
0.128630	0.696970
0.131016	0.702357
0.132484	0.706397
0.134393	0.711111
0.136522	0.714478
0.138174	0.717172
0.140377	0.720539
0.142836	0.722559
0.145075	0.729293
0.147278	0.731987
0.150141	0.740741
0.152564	0.744108
0.155574	0.749495
0.158658	0.753535
0.161485	0.761616
0.164348	0.767003
0.168019	0.770370
0.171947	0.775758
0.176572	0.781818
0.180977	0.784512
0.185346	0.787879
0.190081	0.790572
0.195514	0.796633
0.201828	0.800673
0.207702	0.805387
0.213795	0.810774
0.220036	0.815488
0.227598	0.826263
0.235050	0.834343
0.244448	0.841751
0.254286	0.852525
0.264564	0.860606
0.276238	0.865993
0.290665	0.876768
0.305679	0.884175
0.324621	0.897643
0.348372	0.910438
0.375794	0.924579
0.409053	0.936700
0.450791	0.947475
0.514959	0.958923
0.612019	0.972391
0.800191	0.994613
0.996733	1.000000
1.000000	1.000000
