,predus,ispred,dockpred,annotated,rfscore
41_1JPS.H,0.0,0.08,0.019809999999999998,0.0,0.0
42_1JPS.H,0.0,0.09,0.0146,0.0,0.0
43_1JPS.H,0.0,0.04,0.021830000000000002,0.0,0.0
44_1JPS.H,0.0,0.01,0.0038200000000000005,0.0,0.0
45_1JPS.H,0.0,0.0,0.00119,0.0,0.0
46_1JPS.H,0.0,0.01,0.00248,0.0,0.0
47_1JPS.H,0.0,0.0,0.01192,0.0,0.0
48_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
49_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
50_1JPS.H,0.17300000000000001,0.0,0.10690999999999999,0.0,0.6
51_1JPS.H,0.0,0.0,0.01037,0.0,0.0
52_1JPS.H,0.265,0.0,0.278,1.0,0.0
53_1JPS.H,0.0,0.0,0.0067599999999999995,0.0,0.0
54_1JPS.H,0.18,0.96,0.28296,0.0,0.3
55_1JPS.H,0.013000000000000001,0.98,0.19172999999999998,1.0,0.2
56_1JPS.H,0.013000000000000001,0.97,0.023119999999999998,0.0,0.0
57_1JPS.H,0.034,0.99,0.16764,1.0,0.0
58_1JPS.H,0.0,0.93,0.046439999999999995,0.0,0.0
59_1JPS.H,0.0,0.86,0.11589,1.0,0.0
60_1JPS.H,0.0,0.0,0.03225,0.0,0.0
61_1JPS.H,0.0,0.0,0.0025800000000000003,0.0,0.14285714285714282
62_1JPS.H,0.0,0.12,0.013880000000000002,0.0,0.0
63_1JPS.H,0.0,0.03,0.00495,0.0,0.0
64_1JPS.H,0.0,0.0,0.00186,0.0,0.0
65_1JPS.H,0.0,0.01,0.03245,0.0,0.0
66_1JPS.H,0.0,0.02,0.02348,0.0,0.0
67_1JPS.H,0.0,0.03,0.00872,0.0,0.0
68_1JPS.H,0.0,0.0,0.01078,0.0,0.0
69_1JPS.H,0.0,0.16,0.0258,0.0,0.0
70_1JPS.H,0.0,0.0,0.0113,0.0,0.0
71_1JPS.H,0.0,0.03,0.02301,0.0,0.0
72_1JPS.H,0.0,0.22,0.01259,0.0,0.0
73_1JPS.H,0.0,0.35,0.015269999999999999,0.0,0.0
74_1JPS.H,0.0,0.94,0.00893,0.0,0.0
75_1JPS.H,0.0,0.35,0.01187,0.0,0.0
76_1JPS.H,0.0,0.26,0.02642,0.0,0.0
77_1JPS.H,0.0,0.0,0.00707,0.0,0.0
78_1JPS.H,0.0,0.0,0.00717,0.0,0.0
79_1JPS.H,0.0,0.0,0.0001,0.0,0.0
80_1JPS.H,0.0,0.87,0.02719,0.0,0.0
81_1JPS.H,0.0,0.0,0.00583,0.0,0.0
82_1JPS.H,0.0,0.17,0.02719,0.0,0.0
83_1JPS.H,0.0,0.0,0.0001,0.0,0.0
84_1JPS.H,0.0,0.03,0.01878,0.0,0.0
85_1JPS.H,0.0,0.01,0.015380000000000001,0.0,0.0
86_1JPS.H,0.0,0.0,0.00186,0.0,0.0
87_1JPS.H,0.0,0.01,0.02508,0.0,0.0
88_1JPS.H,0.0,0.01,0.02544,0.0,0.0
89_1JPS.H,0.0,0.01,0.01522,0.0,0.0
90_1JPS.H,0.0,0.0,0.00088,0.0,0.0
91_1JPS.H,0.0,0.01,0.0162,0.0,0.0
92_1JPS.H,0.0,0.0,0.00031,0.0,0.0
93_1JPS.H,0.0,0.01,0.00021,0.0,0.0
94_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
95_1JPS.H,0.122,0.0,0.00041,0.0,0.0
96_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
97_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
98_1JPS.H,0.20199999999999999,0.0,0.16134,0.0,0.0
99_1JPS.H,0.0,0.0,0.21624000000000002,0.0,0.0
100_1JPS.H,0.62,0.07,0.67685,1.0,0.4
101_1JPS.H,0.265,0.73,0.81363,1.0,0.6
102_1JPS.H,0.35,0.92,0.73753,0.0,0.5
103_1JPS.H,0.35,0.93,0.45674,0.0,0.1
104_1JPS.H,0.0,0.0,0.0069700000000000005,0.0,0.0
105_1JPS.H,0.35,0.35,0.20035,0.0,0.0
106_1JPS.H,0.266,0.3,0.11764000000000001,0.0,0.4
107_1JPS.H,0.122,0.07,0.0069700000000000005,0.0,0.0
108_1JPS.H,0.0,0.0,0.00217,0.0,0.0
109_1JPS.H,0.0,0.09,0.0051600000000000005,0.0,0.0
110_1JPS.H,0.0,0.02,0.00093,0.0,0.0
111_1JPS.H,0.0,0.01,0.0028899999999999998,0.0,0.0
112_1JPS.H,0.0,0.01,0.00315,0.0,0.0
113_1JPS.H,0.0,0.0,0.00093,0.0,0.0
114_1JPS.H,0.0,0.0,0.01264,0.0,0.0
115_1JPS.H,0.0,0.0,0.01878,0.0,0.0
116_1JPS.H,0.0,0.01,0.02972,0.0,0.0
117_1JPS.H,0.0,0.01,0.03545,0.0,0.0
118_1JPS.H,0.0,0.01,0.03204,0.0,0.0
119_1JPS.H,0.0,0.02,0.02683,0.0,0.0
120_1JPS.H,0.0,0.06,0.02265,0.0,0.0
121_1JPS.H,0.0,0.01,0.01151,0.0,0.0
122_1JPS.H,0.0,0.01,0.0051600000000000005,0.0,0.0
123_1JPS.H,0.0,0.0,0.00243,0.0,0.0
124_1JPS.H,0.0,0.01,0.00268,0.0,0.0
125_1JPS.H,0.0,0.0,0.00098,0.0,0.04545454545454546
126_1JPS.H,0.0,0.0,0.00144,0.0,0.0
127_1JPS.H,0.0,0.05,0.0005200000000000001,0.0,0.0
128_1JPS.H,0.0,0.0,0.00026000000000000003,0.0,0.0
129_1JPS.H,0.0,0.03,0.00418,0.0,0.0
130_1JPS.H,0.0,0.0,0.00526,0.0,0.0
131_1JPS.H,0.0,0.08,0.01687,0.0,0.0
132_1JPS.H,0.0,0.99,0.01832,0.0,0.0
137_1JPS.H,0.0,0.85,0.03405,0.0,0.0
138_1JPS.H,0.0,0.39,0.0339,0.0,0.1
139_1JPS.H,0.0,0.39,0.030389999999999997,0.0,0.1
140_1JPS.H,0.0,0.0,0.0045899999999999995,0.0,0.0
141_1JPS.H,0.0,0.0,0.00227,0.0,0.0
142_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
143_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
144_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
145_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
146_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
147_1JPS.H,0.0,0.0,0.00196,0.0,0.0
148_1JPS.H,0.0,0.14,0.0031,0.0,0.0
149_1JPS.H,0.0,0.0,0.0001,0.0,0.0
150_1JPS.H,0.0,0.0,0.0291,0.0,0.0
151_1JPS.H,0.0,0.0,0.00165,0.0,0.0
152_1JPS.H,0.0,0.04,0.01135,0.0,0.0
153_1JPS.H,0.0,0.01,0.00119,0.0,0.0
154_1JPS.H,0.0,0.0,0.00026000000000000003,0.0,0.0
155_1JPS.H,0.0,0.01,0.00119,0.0,0.0
156_1JPS.H,0.0,0.03,0.00041,0.0,0.0
157_1JPS.H,0.013000000000000001,0.03,0.00103,0.0,0.0
158_1JPS.H,0.0,0.0,0.00031,0.0,0.0
159_1JPS.H,0.013000000000000001,0.11,0.00619,0.0,0.0
160_1JPS.H,0.013000000000000001,0.08,0.0059299999999999995,0.0,0.0
161_1JPS.H,0.013000000000000001,0.12,0.007790000000000001,0.0,0.0
162_1JPS.H,0.013000000000000001,0.07,0.01264,0.0,0.0
163_1JPS.H,0.013000000000000001,0.05,0.01114,0.0,0.0
164_1JPS.H,0.013000000000000001,0.09,0.01011,0.0,0.0
165_1JPS.H,0.0,0.05,0.01584,0.0,0.0
166_1JPS.H,0.0,0.02,0.00857,0.0,0.0
167_1JPS.H,0.0,0.01,0.00134,0.0,0.0
168_1JPS.H,0.0,0.0,0.00212,0.0,0.11111111111111113
169_1JPS.H,0.0,0.02,0.00031,0.0,0.0
170_1JPS.H,0.0,0.0,0.00021,0.0,0.019047619047619046
171_1JPS.H,0.0,0.01,0.00573,0.0,0.0
172_1JPS.H,0.0,0.02,0.01022,0.0,0.0
173_1JPS.H,0.0,0.01,0.01094,0.0,0.0
174_1JPS.H,0.0,0.04,0.03854,0.0,0.0
175_1JPS.H,0.0,0.0,0.02358,0.0,0.0
176_1JPS.H,0.0,0.12,0.0387,0.0,0.0
177_1JPS.H,0.0,0.87,0.02905,0.0,0.0
178_1JPS.H,0.0,0.08,0.031889999999999995,0.0,0.0
179_1JPS.H,0.0,0.03,0.01264,0.0,0.0
180_1JPS.H,0.0,0.02,0.02595,0.0,0.0
181_1JPS.H,0.0,0.0,0.0001,0.0,0.0
182_1JPS.H,0.0,0.0,0.0001,0.0,0.0
183_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
184_1JPS.H,0.0,0.0,5e-05,0.0,0.0
185_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
186_1JPS.H,0.0,0.0,0.00294,0.0,0.0
187_1JPS.H,0.0,0.04,0.012740000000000001,0.0,0.0
188_1JPS.H,0.0,0.0,0.01151,0.0,0.0
189_1JPS.H,0.0,0.45,0.01728,0.0,0.0
190_1JPS.H,0.0,0.0,0.013669999999999998,0.0,0.0
191_1JPS.H,0.0,0.58,0.01945,0.0,0.0
192_1JPS.H,0.0,0.0,0.01042,0.0,0.0
193_1JPS.H,0.0,0.12,0.00609,0.0,0.0
194_1JPS.H,0.0,0.1,0.00562,0.0,0.0
195_1JPS.H,0.0,0.42,0.0098,0.0,0.0
196_1JPS.H,0.0,0.05,0.01166,0.0,0.0
197_1JPS.H,0.0,0.02,0.00428,0.0,0.0
198_1JPS.H,0.0,0.0,0.00748,0.0,0.0
199_1JPS.H,0.0,0.03,0.00212,0.0,0.0
200_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
201_1JPS.H,0.013000000000000001,0.0,0.00114,0.0,0.0
202_1JPS.H,0.0,0.0,5e-05,0.0,0.0
203_1JPS.H,0.0,0.01,0.0032,0.0,0.0
204_1JPS.H,0.0,0.0,0.00062,0.0,0.02127659574468085
205_1JPS.H,0.0,0.05,0.015119999999999998,0.0,0.0
206_1JPS.H,0.0,0.01,0.0179,0.0,0.0
207_1JPS.H,0.0,0.01,0.012490000000000001,0.0,0.0
208_1JPS.H,0.0,0.01,0.02343,0.0,0.0
209_1JPS.H,0.0,0.01,0.00635,0.0,0.0
210_1JPS.H,0.0,0.02,0.007690000000000001,0.0,0.0
211_1JPS.H,0.0,0.08,0.00237,0.0,0.0
212_1JPS.H,0.0,0.01,0.00227,0.0,0.0
213_1JPS.H,0.0,0.01,0.00119,0.0,0.0
214_1JPS.H,0.0,0.01,0.00201,0.0,0.0
215_1JPS.H,0.0,0.0,0.00021,0.0,0.019047619047619046
216_1JPS.H,0.0,0.01,0.00263,0.0,0.0
217_1JPS.H,0.0,0.04,0.00619,0.0,0.025
501_1JPS.H,0.0,0.03,0.009179999999999999,0.0,0.0
502_1JPS.H,0.0,0.0,0.00454,0.0,0.0
503_1JPS.H,0.0,0.05,0.00439,0.0,0.0
504_1JPS.H,0.0,0.0,0.00175,0.0,0.0
505_1JPS.H,0.0,0.03,0.00588,0.0,0.0
506_1JPS.H,0.0,0.0,0.0037700000000000003,0.0,0.0
507_1JPS.H,0.0,0.01,0.00733,0.0,0.0
508_1JPS.H,0.0,0.01,0.007890000000000001,0.0,0.0
509_1JPS.H,0.0,0.01,0.01145,0.0,0.0
510_1JPS.H,0.0,0.02,0.01259,0.0,0.0
511_1JPS.H,0.0,0.03,0.007640000000000001,0.0,0.0
512_1JPS.H,0.0,0.03,0.01037,0.0,0.0
513_1JPS.H,0.0,0.0,0.00361,0.0,0.0
514_1JPS.H,0.0,0.02,0.00857,0.0,0.0
515_1JPS.H,0.0,0.01,0.01006,0.0,0.0
516_1JPS.H,0.0,0.01,0.00857,0.0,0.0
517_1JPS.H,0.0,0.04,0.00908,0.0,0.0
518_1JPS.H,0.0,0.06,0.02384,0.0,0.0
519_1JPS.H,0.0,0.0,0.00315,0.0,0.0
520_1JPS.H,0.0,0.49,0.00743,0.0,0.1
521_1JPS.H,0.0,0.0,0.00072,0.0,0.0
522_1JPS.H,0.0,0.05,0.0053100000000000005,0.0,0.8
523_1JPS.H,0.0,0.0,0.00026000000000000003,0.0,0.0
524_1JPS.H,0.0,0.2,0.00867,0.0,0.0
525_1JPS.H,0.0,0.0,0.00175,0.0,0.0
526_1JPS.H,0.0,0.03,0.00351,0.0,0.0
527_1JPS.H,0.0,0.04,0.027239999999999997,0.0,0.0
528_1JPS.H,0.0,0.14,0.10928,0.0,0.0
529_1JPS.H,0.0,0.0,0.02415,0.0,0.0
530_1JPS.H,0.237,0.56,0.6131800000000001,0.0,0.3
531_1JPS.H,0.10800000000000001,0.12,0.36608,0.0,0.1
532_1JPS.H,0.258,0.82,0.95635,1.0,0.5
533_1JPS.H,0.0,0.0,0.00562,0.0,0.0
534_1JPS.H,0.0,0.0,0.0145,0.0,0.0
535_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
536_1JPS.H,0.0,0.0,0.0007700000000000001,0.0,0.0
537_1JPS.H,0.0,0.0,0.00114,0.0,0.0
538_1JPS.H,0.0,0.0,0.00119,0.0,0.0
539_1JPS.H,0.0,0.07,0.0031,0.0,0.0
540_1JPS.H,0.0,0.05,0.00093,0.0,0.0
541_1JPS.H,0.0,0.06,0.00134,0.0,0.0
542_1JPS.H,0.0,0.05,0.005,0.0,0.0
543_1JPS.H,0.0,0.02,0.00351,0.0,0.0
544_1JPS.H,0.0,0.0,0.00268,0.0,0.0
545_1JPS.H,0.0,0.04,0.01347,0.0,0.0
546_1JPS.H,0.0,0.0,0.01584,0.0,0.0
547_1JPS.H,0.0,0.0,0.00045999999999999996,0.0,0.0
548_1JPS.H,0.0,0.0,0.00475,0.0,0.0
549_1JPS.H,0.266,0.38,0.8192,0.0,0.3
550_1JPS.H,0.377,0.94,1.0,1.0,1.0
551_1JPS.H,0.0,0.0,0.07884,0.0,0.0
552_1JPS.H,0.122,0.77,0.42778999999999995,0.0,0.5
553_1JPS.H,0.073,0.92,0.64465,0.0,0.2
554_1JPS.H,0.073,0.8,0.26850999999999997,0.0,0.3
555_1JPS.H,0.0,0.0,0.14163,0.0,0.0
556_1JPS.H,0.0,0.9,0.3717,0.0,0.7
557_1JPS.H,0.0,0.68,0.0597,0.0,0.0
558_1JPS.H,0.0,0.0,0.0308,0.0,0.0
559_1JPS.H,0.0,0.08,0.01574,0.0,0.0
560_1JPS.H,0.0,0.25,0.07306,0.0,0.0
561_1JPS.H,0.0,0.04,0.020069999999999998,0.0,0.9
562_1JPS.H,0.0,0.0,0.02219,0.0,0.0
563_1JPS.H,0.013000000000000001,0.38,0.052110000000000004,0.0,0.0
564_1JPS.H,0.013000000000000001,0.0,0.052579999999999995,0.0,0.0
565_1JPS.H,0.0,0.1,0.06563,0.0,0.0
566_1JPS.H,0.0,0.35,0.11857000000000001,0.0,0.0
567_1JPS.H,0.073,0.55,0.17053,0.0,0.1
568_1JPS.H,0.0,0.18,0.06785,0.0,0.0
569_1JPS.H,0.0,0.31,0.01145,0.0,0.0
570_1JPS.H,0.0,0.19,0.0162,0.0,0.0
571_1JPS.H,0.0,0.0,0.01563,0.0,0.0
572_1JPS.H,0.0,0.03,0.00996,0.0,0.0
573_1JPS.H,0.0,0.0,0.00057,0.0,0.0
574_1JPS.H,0.0,0.0,0.01285,0.0,0.0
575_1JPS.H,0.0,0.0,0.00072,0.0,0.0
576_1JPS.H,0.0,0.01,0.01661,0.0,0.0
577_1JPS.H,0.0,0.01,0.00826,0.0,0.0
578_1JPS.H,0.0,0.0,0.00067,0.0,0.0
579_1JPS.H,0.0,0.01,0.00944,0.0,0.0
580_1JPS.H,0.0,0.01,0.005520000000000001,0.0,0.0
581_1JPS.H,0.0,0.01,0.00872,0.0,0.0
582_1JPS.H,0.0,0.0,0.00026000000000000003,0.0,0.0
583_1JPS.H,0.0,0.0,0.00062,0.0,0.02127659574468085
584_1JPS.H,0.0,0.0,0.00021,0.0,0.019047619047619046
585_1JPS.H,0.0,0.01,0.0016,0.0,0.0
586_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
587_1JPS.H,0.0,0.0,0.00217,0.0,0.0
588_1JPS.H,0.0,0.0,5e-05,0.0,0.0
589_1JPS.H,0.0,0.0,5e-05,0.0,0.0
590_1JPS.H,0.0,0.0,0.00774,0.0,0.0
591_1JPS.H,0.266,0.0,0.41505,1.0,0.1
592_1JPS.H,0.159,0.07,0.37051999999999996,1.0,0.3
593_1JPS.H,0.0,0.08,0.19585999999999998,1.0,0.0
594_1JPS.H,0.0,0.05,0.12569,1.0,0.0
595_1JPS.H,0.0,0.0,0.01192,0.0,0.0
596_1JPS.H,0.0,0.0,0.22765,0.0,0.0
597_1JPS.H,0.0,0.0,0.00103,0.0,0.0
598_1JPS.H,0.0,0.0,0.0017,0.0,0.0
599_1JPS.H,0.0,0.0,0.0017,0.0,0.0
600_1JPS.H,0.0,0.02,0.007790000000000001,0.0,0.0
601_1JPS.H,0.0,0.0,0.00243,0.0,0.0
602_1JPS.H,0.0,0.0,0.0005200000000000001,0.0,0.0
603_1JPS.H,0.0,0.02,0.008620000000000001,0.0,0.0
604_1JPS.H,0.0,0.0,5e-05,0.0,0.0
605_1JPS.H,0.0,0.01,0.00898,0.0,0.0
606_1JPS.H,0.0,0.0,0.00088,0.0,0.0
607_1JPS.H,0.0,0.01,0.0144,0.0,0.0
608_1JPS.H,0.0,0.01,0.020640000000000002,0.0,0.0
609_1JPS.H,0.0,0.01,0.02146,0.0,0.0
610_1JPS.H,0.0,0.01,0.02456,0.0,0.0
611_1JPS.H,0.0,0.01,0.01455,0.0,0.0
612_1JPS.H,0.0,0.01,0.02239,0.0,0.0
613_1JPS.H,0.0,0.0,0.01491,0.0,0.0
614_1JPS.H,0.0,0.02,0.02647,0.0,0.0
615_1JPS.H,0.0,0.0,0.015009999999999999,0.0,0.0
616_1JPS.H,0.0,0.9,0.02043,0.0,1.0
617_1JPS.H,0.0,0.0,0.00882,0.0,0.0
618_1JPS.H,0.0,0.0,0.0032,0.0,0.0
619_1JPS.H,0.0,0.07,0.00599,0.0,0.0
620_1JPS.H,0.0,0.0,0.00155,0.0,0.0
621_1JPS.H,0.0,0.0,0.00139,0.0,0.0
622_1JPS.H,0.0,0.05,0.0027300000000000002,0.0,0.0
623_1JPS.H,0.0,0.11,0.00232,0.0,0.0
624_1JPS.H,0.0,0.0,0.0005200000000000001,0.0,0.0
625_1JPS.H,0.0,0.01,0.00088,0.0,0.0
626_1JPS.H,0.0,0.01,0.00299,0.0,0.0
627_1JPS.H,0.0,0.06,0.00371,0.0,0.0
628_1JPS.H,0.0,0.03,0.00506,0.0,0.0
629_1JPS.H,0.0,0.35,0.005520000000000001,0.0,0.0
630_1JPS.H,0.0,0.0,0.00015,0.0,0.0
631_1JPS.H,0.0,0.0,0.0001,0.0,0.0
632_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
633_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
634_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
635_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
636_1JPS.H,0.0,0.0,5e-05,0.0,0.0
637_1JPS.H,0.0,0.0,0.00733,0.0,0.0
638_1JPS.H,0.0,0.08,0.013569999999999999,0.0,0.0
639_1JPS.H,0.0,0.0,0.00114,0.0,0.0
640_1JPS.H,0.0,0.0,0.0081,0.0,0.0
641_1JPS.H,0.0,0.02,0.0067599999999999995,0.0,0.0
642_1JPS.H,0.0,0.01,0.013669999999999998,0.0,0.0
643_1JPS.H,0.0,0.01,0.01677,0.0,0.0
644_1JPS.H,0.0,0.0,0.00903,0.0,0.0
645_1JPS.H,0.0,0.01,0.01295,0.0,0.0
646_1JPS.H,0.0,0.01,0.00583,0.0,0.0
647_1JPS.H,0.0,0.01,0.007690000000000001,0.0,0.0
648_1JPS.H,0.0,0.0,0.0012900000000000001,0.0,0.0
649_1JPS.H,0.0,0.01,0.00418,0.0,0.0
650_1JPS.H,0.0,0.0,0.00232,0.0,0.0
651_1JPS.H,0.0,0.01,0.00439,0.0,0.0
652_1JPS.H,0.0,0.02,0.00728,0.0,0.0
653_1JPS.H,0.0,0.01,0.00506,0.0,0.0
654_1JPS.H,0.0,0.01,0.01094,0.0,0.0
655_1JPS.H,0.0,0.01,0.011040000000000001,0.0,0.0
656_1JPS.H,0.0,0.02,0.02172,0.0,0.0
657_1JPS.H,0.0,0.03,0.02621,0.0,0.0
658_1JPS.H,0.0,0.04,0.01347,0.0,0.0
659_1JPS.H,0.0,0.23,0.015790000000000002,0.0,0.0
660_1JPS.H,0.0,0.13,0.023219999999999998,0.0,0.0
661_1JPS.H,0.0,0.19,0.01785,0.0,0.0
662_1JPS.H,0.0,0.0,0.00733,0.0,0.0
663_1JPS.H,0.0,0.02,0.00898,0.0,0.0
664_1JPS.H,0.0,0.0,0.00186,0.0,0.0
665_1JPS.H,0.0,0.03,0.00604,0.0,0.0
666_1JPS.H,0.0,0.0,0.00098,0.0,0.04545454545454546
667_1JPS.H,0.0,0.02,0.00387,0.0,0.0
668_1JPS.H,0.0,0.01,0.00433,0.0,0.0
669_1JPS.H,0.0,0.06,0.01574,0.0,0.0
670_1JPS.H,0.0,0.03,0.0129,0.0,0.0
671_1JPS.H,0.0,0.0,0.00144,0.0,0.0
672_1JPS.H,0.0,0.0,0.00361,0.0,0.0
673_1JPS.H,0.0,0.0,0.0025800000000000003,0.0,0.14285714285714282
674_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
675_1JPS.H,0.0,0.0,0.0025800000000000003,0.0,0.14285714285714282
676_1JPS.H,0.0,0.0,0.0,0.0,0.004193290734824281
677_1JPS.H,0.0,0.0,0.00093,0.0,0.0
678_1JPS.H,0.0,0.0,0.00031,0.0,0.0
679_1JPS.H,0.0,0.0,5e-05,0.0,0.0
680_1JPS.H,0.0,0.28,0.00671,0.0,0.0
681_1JPS.H,0.0,0.0,0.00583,0.0,0.0
682_1JPS.H,0.0,0.05,0.0069099999999999995,0.0,0.0
683_1JPS.H,0.0,0.02,0.00155,0.0,0.0
684_1JPS.H,0.0,0.06,0.0016,0.0,0.0
685_1JPS.H,0.0,0.01,0.0059299999999999995,0.0,0.0
686_1JPS.H,0.0,0.0,0.00155,0.0,0.0
687_1JPS.H,0.0,0.01,0.00108,0.0,0.0
688_1JPS.H,0.0,0.01,0.0037700000000000003,0.0,0.0
689_1JPS.H,0.0,0.01,0.00433,0.0,0.0
690_1JPS.H,0.0,0.01,0.00547,0.0,0.0
691_1JPS.H,0.0,0.01,0.00521,0.0,0.0
692_1JPS.H,0.0,0.0,0.00045999999999999996,0.0,0.0
693_1JPS.H,0.0,0.0,0.00201,0.0,0.0
694_1JPS.H,0.0,0.0,5e-05,0.0,0.0
695_1JPS.H,0.0,0.02,0.00371,0.0,0.0
696_1JPS.H,0.0,0.0,0.0001,0.0,0.0
697_1JPS.H,0.0,0.01,0.00728,0.0,0.0
698_1JPS.H,0.0,0.0,0.00784,0.0,0.0
699_1JPS.H,0.0,0.01,0.02115,0.0,0.0
700_1JPS.H,0.0,0.01,0.02219,0.0,0.0
701_1JPS.H,0.0,0.01,0.02957,0.0,0.0
702_1JPS.H,0.0,0.06,0.03411,0.0,0.0
703_1JPS.H,0.0,0.01,0.02657,0.0,0.0
704_1JPS.H,0.0,0.01,0.01806,0.0,0.0
705_1JPS.H,0.0,0.01,0.02343,0.0,0.0
706_1JPS.H,0.0,0.02,0.0161,0.0,0.0
707_1JPS.H,0.0,0.44,0.029410000000000002,0.0,0.0
708_1JPS.H,0.0,0.03,0.0162,0.0,0.0
709_1JPS.H,0.0,0.0,0.01202,0.0,0.0
710_1JPS.H,0.0,0.04,0.01171,0.0,0.0
711_1JPS.H,0.0,0.01,0.00206,0.0,0.0
712_1JPS.H,0.0,0.01,0.0047,0.0,0.0
713_1JPS.H,0.0,0.01,0.01094,0.0,0.0
27_1JTD.A,0.0,0.54,0.17626,0.0,0.0
28_1JTD.A,0.0,0.26,0.08569,0.0,0.0
29_1JTD.A,0.035,0.0,0.014769999999999998,0.0,0.0
30_1JTD.A,0.0,0.1,0.10789000000000001,0.0,0.0
31_1JTD.A,0.0,0.05,0.07103999999999999,0.0,0.0
32_1JTD.A,0.0,0.0,0.0057,0.0,0.0
33_1JTD.A,0.0,0.0,0.00058,0.0,0.0
34_1JTD.A,0.0,0.03,0.1494,0.0,0.0
35_1JTD.A,0.0,0.03,0.03662,0.0,0.0
36_1JTD.A,0.0,0.0,0.0,0.0,0.004193290734824281
37_1JTD.A,0.0,0.0,0.07325,0.0,0.0
38_1JTD.A,0.0,0.02,0.10231,0.0,0.0
39_1JTD.A,0.0,0.02,0.045689999999999995,0.0,0.0
40_1JTD.A,0.0,0.0,0.034069999999999996,0.0,0.0
41_1JTD.A,0.0,0.01,0.07325,0.0,0.0
42_1JTD.A,0.0,0.0,0.04825,0.0,0.0
43_1JTD.A,0.0,0.01,0.06255,0.0,0.0
44_1JTD.A,0.0,0.0,0.0,0.0,0.004193290734824281
