Threshold,Global_Dbmark_TPR,Global_Dbmark_FPR,Global_NOX_TPR,Global_NOX_FPR,Global_Total_TPR,Global_Total_FPR
0.61,0.131313,0.011196,0.086897,0.012183,0.101938,0.011709
0.62,0.125253,0.010168,0.080345,0.0113,0.095553,0.010756
0.63,0.119865,0.009728,0.076897,0.010486,0.091448,0.010122
0.64,0.119192,0.009434,0.074828,0.010214,0.089852,0.00984
0.65,0.110438,0.00892,0.070345,0.009909,0.083922,0.009434
0.66,0.109091,0.00859,0.068966,0.009638,0.082554,0.009134
0.67,0.10303,0.008259,0.065862,0.009129,0.078449,0.008711
0.68,0.10101,0.007562,0.061724,0.008586,0.075029,0.008094
0.69,0.10101,0.007378,0.061034,0.008314,0.074572,0.007865
0.7,0.097643,0.007158,0.058276,0.007907,0.071608,0.007547
0.71,0.092256,0.006387,0.053103,0.006923,0.066363,0.006665
0.72,0.092256,0.00635,0.052414,0.006787,0.065906,0.006577
0.73,0.089562,0.00624,0.051724,0.006617,0.064538,0.006436
0.74,0.086869,0.005983,0.051034,0.006448,0.06317,0.006225
0.75,0.082828,0.005873,0.051034,0.00638,0.061802,0.006136
0.76,0.079461,0.005469,0.046552,0.005837,0.057697,0.00566
0.77,0.072727,0.004699,0.043793,0.005531,0.053592,0.005131
0.78,0.07138,0.004699,0.043793,0.005497,0.053136,0.005114
0.79,0.070707,0.004662,0.042759,0.005362,0.052223,0.005026
0.8,0.070707,0.004662,0.042069,0.005362,0.051767,0.005026
0.81,0.068687,0.004552,0.041379,0.005124,0.050627,0.004849
0.82,0.06734,0.004405,0.04,0.004988,0.049259,0.004708
0.83,0.066667,0.004368,0.039655,0.004853,0.048803,0.00462
0.84,0.066667,0.004332,0.03931,0.004819,0.048575,0.004585
0.85,0.06532,0.004332,0.038966,0.004683,0.047891,0.004514
0.86,0.061279,0.004295,0.036897,0.004513,0.045154,0.004408
0.87,0.059933,0.004111,0.036897,0.004513,0.044698,0.00432
0.88,0.059259,0.004038,0.036552,0.004513,0.044242,0.004285
0.89,0.056566,0.003708,0.035517,0.004276,0.042645,0.004003
0.9,0.055219,0.003634,0.035517,0.004106,0.042189,0.003879
0.91,0.054545,0.003634,0.035517,0.004038,0.041961,0.003844
0.92,0.053199,0.003524,0.033793,0.003767,0.040365,0.00365
0.93,0.046465,0.003194,0.031379,0.003427,0.036488,0.003315
0.94,0.045791,0.00312,0.031034,0.003224,0.036032,0.003174
0.95,0.045791,0.00312,0.03069,0.003156,0.035804,0.003139
0.96,0.045118,0.003083,0.029655,0.00302,0.034892,0.003051
0.97,0.043098,0.00301,0.028276,0.002817,0.033295,0.00291
0.98,0.043098,0.0029,0.027931,0.002681,0.033067,0.002786
0.99,0.041751,0.0029,0.026897,0.002681,0.031927,0.002786
1,0.039731,0.00279,0.026552,0.002579,0.031015,0.00268
1.01,0,0,0,0,0,0
