residue,predus,ispred,dockpred,rfscore,annotated
145_1DOW.A,0.0,0.0,0.151,0.0,1.0
146_1DOW.A,0.0,0.98,0.029,1.0,1.0
193_1DOW.A,0.0,0.84,0.042,0.1,1.0
197_1DOW.A,0.191,0.53,0.096,0.2,1.0
30_1DQJ.A,0.0,0.96,0.303,1.0,1.0
31_1DQJ.A,0.0,0.81,0.381,0.8,1.0
32_1DQJ.A,0.0,0.98,0.576,1.0,1.0
50_1DQJ.A,0.0,0.95,0.773,0.8,1.0
53_1DQJ.A,0.0,0.97,0.374,1.0,1.0
92_1DQJ.A,0.073,0.99,0.608,0.2,1.0
96_1DQJ.A,0.16,0.0,0.637,0.1,1.0
530_1DQJ.A,0.422,0.97,0.158,0.3,1.0
531_1DQJ.A,0.432,0.98,0.265,0.1,1.0
532_1DQJ.A,0.62,0.98,0.332,0.3,1.0
533_1DQJ.A,0.0,0.98,1.0,0.5,1.0
550_1DQJ.A,1.0,0.0,0.762,0.4,1.0
552_1DQJ.A,0.001,0.0,0.638,0.1,1.0
553_1DQJ.A,0.373,0.78,0.992,0.6,1.0
554_1DQJ.A,0.133,0.99,0.667,0.5,1.0
556_1DQJ.A,0.085,0.95,0.617,0.2,1.0
558_1DQJ.A,0.12,0.98,0.847,0.5,1.0
598_1DQJ.A,0.706,0.98,0.916,0.5,1.0
85_1E4K.C,1.0,0.03,0.819,0.9,1.0
86_1E4K.C,0.524,0.02,0.672,0.1,1.0
87_1E4K.C,0.721,0.01,1.0,0.6,1.0
110_1E4K.C,0.695,0.06,0.942,0.3,1.0
116_1E4K.C,0.721,0.04,0.091,0.0,1.0
117_1E4K.C,0.644,0.1,0.131,0.0,1.0
126_1E4K.C,0.605,0.03,0.136,0.7,1.0
131_1E4K.C,0.143,0.02,0.249,0.0,1.0
132_1E4K.C,0.721,0.03,0.201,0.2,1.0
152_1E4K.C,0.421,0.03,0.135,0.0,1.0
155_1E4K.C,0.405,0.0,0.286,0.6,1.0
158_1E4K.C,0.0,0.13,0.913,0.0,1.0
31_1E6J.H,0.019,0.68,0.423,0.4,1.0
33_1E6J.H,0.612,0.0,0.468,0.1,1.0
50_1E6J.H,1.0,0.99,0.964,1.0,1.0
52_1E6J.H,0.255,0.98,0.671,0.6,1.0
105_1E6J.H,0.667,0.97,0.897,0.0,1.0
591_1E6J.H,0.377,0.94,0.77,0.6,1.0
592_1E6J.H,0.366,0.95,1.0,0.0,1.0
18_1EAI.C,0.052,0.64,0.373,0.0,1.0
25_1EAI.C,0.112,0.59,0.517,0.2,1.0
26_1EAI.C,0.166,0.98,0.412,0.8,1.0
27_1EAI.C,0.185,0.86,0.48,0.3,1.0
28_1EAI.C,0.278,0.9,0.585,0.2,1.0
29_1EAI.C,1.0,0.98,0.672,0.7,1.0
31_1EAI.C,0.57,0.92,1.0,0.5,1.0
32_1EAI.C,0.649,0.95,0.952,0.1,1.0
35_1EAI.C,0.032,0.63,0.833,0.2,1.0
42_1EAI.C,0.032,0.23,0.469,0.6,1.0
90_1EFV.A,0.131,0.97,0.063,0.0,1.0
113_1EFV.A,0.0,0.02,0.012,0.0,1.0
114_1EFV.A,0.0,0.08,0.052,0.0,1.0
117_1EFV.A,0.0,0.1,0.139,0.0,1.0
118_1EFV.A,0.0,0.12,0.113,0.0,1.0
121_1EFV.A,0.0,0.66,0.145,0.9,1.0
122_1EFV.A,0.0,0.97,0.094,1.0,1.0
125_1EFV.A,0.0,0.95,0.08,0.8,1.0
126_1EFV.A,0.0,0.82,0.036,0.0,1.0
128_1EFV.A,0.0,0.45,0.058,0.1,1.0
129_1EFV.A,0.0,0.0,0.057,0.0,1.0
130_1EFV.A,0.0,0.16,0.151,0.0,1.0
131_1EFV.A,0.0,0.1,0.177,0.0,1.0
132_1EFV.A,0.0,0.0,0.098,0.0,1.0
133_1EFV.A,0.0,0.36,0.183,0.1,1.0
146_1EFV.A,0.217,0.96,0.313,0.9,1.0
148_1EFV.A,0.171,0.99,0.58,0.2,1.0
149_1EFV.A,0.287,0.9,0.81,0.4,1.0
150_1EFV.A,0.217,0.0,0.301,0.0,1.0
152_1EFV.A,0.13,0.98,0.464,0.2,1.0
153_1EFV.A,0.13,0.97,0.356,0.6,1.0
154_1EFV.A,0.217,0.94,0.237,0.4,1.0
155_1EFV.A,0.217,0.96,0.324,0.7,1.0
156_1EFV.A,0.079,0.95,0.178,0.7,1.0
157_1EFV.A,0.0,0.91,0.158,0.0,1.0
158_1EFV.A,0.0,0.96,0.103,0.7,1.0
160_1EFV.A,0.0,0.18,0.054,0.0,1.0
195_1EFV.A,0.037,0.43,0.019,0.0,1.0
196_1EFV.A,0.131,0.98,0.056,0.1,1.0
197_1EFV.A,0.287,0.98,0.048,0.0,1.0
198_1EFV.A,0.325,0.96,0.05,0.0,1.0
199_1EFV.A,1.0,0.98,0.05,0.0,1.0
200_1EFV.A,0.507,0.97,0.054,0.2,1.0
201_1EFV.A,0.612,0.98,0.059,0.8,1.0
202_1EFV.A,0.659,0.99,0.051,0.7,1.0
203_1EFV.A,0.285,0.98,0.086,0.1,1.0
204_1EFV.A,0.186,0.91,0.041,0.0,1.0
205_1EFV.A,0.255,0.89,0.045,0.5,1.0
241_1EFV.A,0.0,0.78,0.209,0.1,1.0
253_1EFV.A,0.0,0.9,0.103,0.3,1.0
259_1EFV.A,0.0,0.97,0.082,0.2,1.0
260_1EFV.A,0.0,0.8,0.031,0.0,1.0
265_1EFV.A,0.079,0.98,0.409,0.4,1.0
266_1EFV.A,0.037,0.98,0.211,0.5,1.0
268_1EFV.A,0.0,0.93,0.011,0.0,1.0
273_1EFV.A,0.0,0.1,0.199,0.0,1.0
285_1EFV.A,0.173,0.98,0.374,0.9,1.0
291_1EFV.A,0.079,0.86,0.146,0.0,1.0
293_1EFV.A,0.0,0.0,0.046,0.0,1.0
295_1EFV.A,0.014,0.1,0.459,0.2,1.0
308_1EFV.A,0.014,0.98,0.419,0.3,1.0
310_1EFV.A,0.014,0.96,0.222,0.0,1.0
311_1EFV.A,0.014,0.94,0.354,0.6,1.0
312_1EFV.A,0.021,0.97,0.737,0.6,1.0
313_1EFV.A,0.024,0.95,1.0,0.2,1.0
314_1EFV.A,0.024,0.98,0.726,0.3,1.0
315_1EFV.A,0.021,0.91,0.622,0.4,1.0
325_1EFV.A,0.0,0.54,0.245,0.0,1.0
326_1EFV.A,0.0,0.95,0.473,1.0,1.0
46_1EG9.A,0.0,0.03,0.007,0.0,1.0
47_1EG9.A,0.0,0.1,0.01,0.0,1.0
91_1EG9.A,0.0,0.87,0.127,1.0,1.0
92_1EG9.A,0.0,0.49,0.037,0.2,1.0
93_1EG9.A,0.0,0.24,0.061,0.6,1.0
94_1EG9.A,0.0,0.15,0.072,0.0,1.0
95_1EG9.A,0.0,0.1,0.122,0.0,1.0
184_1EG9.A,0.0,0.08,0.013,0.0,1.0
185_1EG9.A,0.0,0.38,0.02,0.0,1.0
186_1EG9.A,0.0,0.37,0.01,0.0,1.0
188_1EG9.A,0.0,0.52,0.02,0.0,1.0
189_1EG9.A,0.0,0.79,0.019,0.0,1.0
190_1EG9.A,0.0,0.9,0.02,0.0,1.0
211_1EG9.A,0.621,0.97,0.992,0.9,1.0
214_1EG9.A,0.421,0.0,0.122,0.1,1.0
215_1EG9.A,0.0,0.96,0.126,0.1,1.0
216_1EG9.A,0.0,0.0,0.03,0.0,1.0
218_1EG9.A,0.0,0.99,0.194,0.9,1.0
219_1EG9.A,0.0,0.96,0.063,0.0,1.0
264_1EG9.A,0.0,0.26,0.014,0.0,1.0
346_1EG9.A,0.0,0.51,0.016,0.0,1.0
349_1EG9.A,0.0,0.64,0.015,0.0,1.0
350_1EG9.A,0.0,0.96,0.036,0.0,1.0
354_1EG9.A,0.0,0.9,0.031,0.0,1.0
355_1EG9.A,0.0,0.18,0.046,0.0,1.0
357_1EG9.A,0.0,0.99,0.058,0.0,1.0
360_1EG9.A,0.0,0.83,0.069,0.0,1.0
361_1EG9.A,0.171,0.97,0.106,0.4,1.0
363_1EG9.A,0.0,0.67,0.034,0.0,1.0
364_1EG9.A,0.0,0.69,0.209,0.9,1.0
367_1EG9.A,0.0,0.85,0.024,0.0,1.0
23_1EMV.A,0.185,0.01,0.369,0.0,1.0
27_1EMV.A,0.0,0.03,0.083,0.0,1.0
29_1EMV.A,0.104,0.1,0.072,0.0,1.0
30_1EMV.A,0.104,0.04,0.547,0.0,1.0
41_1EMV.A,0.166,0.01,0.228,0.0,1.0
47_1EMV.A,0.173,0.04,0.195,0.3,1.0
48_1EMV.A,0.603,0.03,0.218,0.5,1.0
50_1EMV.A,0.603,0.03,0.446,0.3,1.0
51_1EMV.A,1.0,0.06,0.513,0.6,1.0
53_1EMV.A,0.649,0.0,0.296,0.6,1.0
54_1EMV.A,0.649,0.22,0.913,0.7,1.0
55_1EMV.A,0.706,0.22,1.0,0.1,1.0
62_1EMV.A,0.0,0.06,0.392,1.0,1.0
240_1ETH.A,0.0,0.26,0.295,0.0,1.0
241_1ETH.A,0.0,0.57,0.392,0.0,1.0
244_1ETH.A,0.563,0.88,0.035,0.1,1.0
247_1ETH.A,0.565,0.97,0.358,1.0,1.0
249_1ETH.A,0.606,0.98,0.124,0.9,1.0
361_1ETH.A,0.0,0.97,0.044,1.0,1.0
366_1ETH.A,0.0,0.95,0.059,0.0,1.0
369_1ETH.A,0.073,0.68,0.016,0.2,1.0
391_1ETH.A,0.0,0.53,0.036,0.0,1.0
400_1ETH.A,0.0,0.9,0.04,0.0,1.0
402_1ETH.A,0.073,0.0,0.007,0.0,1.0
404_1ETH.A,0.159,0.73,0.023,0.1,1.0
440_1ETH.A,0.029,0.83,0.088,0.0,1.0
442_1ETH.A,0.0,0.79,0.041,0.0,1.0
432_1EUV.A,0.0,0.21,0.235,0.0,1.0
433_1EUV.A,0.0,0.0,0.077,0.0,1.0
434_1EUV.A,0.0,0.15,0.214,0.0,1.0
438_1EUV.A,0.0,0.7,0.351,0.1,1.0
448_1EUV.A,0.369,0.95,0.794,0.5,1.0
449_1EUV.A,0.0,0.0,0.098,0.0,1.0
450_1EUV.A,0.104,0.0,0.165,0.0,1.0
451_1EUV.A,0.0,0.59,0.285,0.3,1.0
452_1EUV.A,0.0,0.0,0.136,0.0,1.0
455_1EUV.A,0.0,0.42,0.19,0.1,1.0
472_1EUV.A,0.0,0.71,0.232,0.1,1.0
473_1EUV.A,0.0,0.0,0.052,0.0,1.0
474_1EUV.A,0.112,0.95,0.433,0.0,1.0
477_1EUV.A,0.0,0.65,0.185,0.1,1.0
478_1EUV.A,0.104,0.83,0.356,0.8,1.0
489_1EUV.A,0.0,0.6,0.332,0.8,1.0
490_1EUV.A,0.108,0.45,0.371,0.1,1.0
493_1EUV.A,0.0,0.85,0.286,1.0,1.0
509_1EUV.A,0.131,0.09,0.123,0.0,1.0
512_1EUV.A,0.185,0.84,0.565,0.2,1.0
513_1EUV.A,0.278,0.85,0.58,0.7,1.0
515_1EUV.A,0.258,0.0,0.115,0.0,1.0
574_1EUV.A,0.0,0.0,0.45,0.0,1.0
577_1EUV.A,0.603,0.75,0.797,0.5,1.0
578_1EUV.A,1.0,0.88,0.934,0.1,1.0
579_1EUV.A,0.0,0.0,0.13,0.0,1.0
580_1EUV.A,0.0,0.0,0.118,0.0,1.0
75_1EXB.E,0.389,0.98,0.831,0.9,1.0
78_1EXB.E,0.389,0.98,0.386,0.8,1.0
80_1EXB.E,0.958,0.0,0.433,0.0,1.0
34_1F34.A,0.0,0.0,0.01,0.0,1.0
65_1F34.A,0.0,0.55,0.033,0.0,1.0
66_1F34.A,0.0,0.75,0.039,0.1,1.0
69_1F34.A,0.0,0.68,0.046,0.0,1.0
70_1F34.A,0.0,0.78,0.053,0.0,1.0
71_1F34.A,0.0,0.0,0.013,0.0,1.0
72_1F34.A,0.0,0.86,0.036,0.1,1.0
74_1F34.A,0.282,0.97,0.059,0.5,1.0
75_1F34.A,0.548,0.95,0.057,0.5,1.0
76_1F34.A,0.0,0.88,0.081,0.0,1.0
79_1F34.A,0.079,0.92,0.063,0.0,1.0
86_1F34.A,0.0,0.64,0.038,0.0,1.0
109_1F34.A,0.368,0.97,0.223,0.2,1.0
128_1F34.A,0.0,0.13,0.034,0.0,1.0
130_1F34.A,0.0,0.98,0.023,0.0,1.0
131_1F34.A,0.0,0.17,0.043,0.0,1.0
189_1F34.A,0.0,0.08,0.036,0.0,1.0
218_1F34.A,0.169,0.97,0.008,0.5,1.0
289_1F34.A,0.0,0.87,0.066,1.0,1.0
290_1F34.A,0.0,0.58,0.043,0.0,1.0
292_1F34.A,0.0,0.98,0.043,1.0,1.0
300_1F34.A,0.0,0.0,0.006,0.0,1.0
21_1F60.A,0.0,0.02,0.03,0.0,1.0
64_1F60.A,0.0,0.03,0.103,0.0,1.0
67_1F60.A,0.0,0.2,0.109,0.1,1.0
68_1F60.A,0.0,0.95,0.179,0.9,1.0
70_1F60.A,0.131,0.95,0.411,0.4,1.0
72_1F60.A,0.368,0.39,0.311,0.3,1.0
74_1F60.A,0.81,0.98,0.361,0.7,1.0
75_1F60.A,0.872,0.94,0.597,0.8,1.0
76_1F60.A,0.466,0.95,0.265,0.8,1.0
78_1F60.A,0.117,0.55,0.066,0.0,1.0
89_1F60.A,0.0,0.0,0.014,0.0,1.0
90_1F60.A,0.0,0.05,0.045,0.9,1.0
91_1F60.A,0.0,0.4,0.027,0.0,1.0
92_1F60.A,0.0,0.0,0.01,0.0,1.0
93_1F60.A,0.0,0.54,0.085,0.1,1.0
94_1F60.A,0.0,0.26,0.055,0.0,1.0
95_1F60.A,0.0,0.14,0.211,0.0,1.0
97_1F60.A,0.0,0.02,0.215,0.0,1.0
100_1F60.A,0.0,0.03,0.13,0.0,1.0
250_1F60.A,0.0,0.07,0.795,0.9,1.0
251_1F60.A,0.079,0.34,0.37,0.3,1.0
252_1F60.A,0.279,0.83,1.0,0.6,1.0
289_1F60.A,0.0,0.05,0.071,0.0,1.0
291_1F60.A,0.371,0.01,0.365,0.1,1.0
293_1F60.A,0.371,0.04,0.659,0.1,1.0
294_1F60.A,0.4,0.07,0.61,0.1,1.0
320_1F60.A,0.0,0.36,0.455,0.1,1.0
428_1F60.A,0.0,0.05,0.414,0.0,1.0
167_1F6Y.A,0.0,0.14,0.176,0.0,1.0
170_1F6Y.A,0.0,0.13,0.112,0.0,1.0
173_1F6Y.A,0.0,0.08,0.046,0.0,1.0
174_1F6Y.A,0.0,0.02,0.08,0.0,1.0
181_1F6Y.A,0.0,0.02,0.172,0.0,1.0
204_1F6Y.A,0.0,0.92,0.239,1.0,1.0
205_1F6Y.A,0.0,0.68,0.313,0.0,1.0
209_1F6Y.A,0.0,0.96,0.212,0.0,1.0
213_1F6Y.A,0.0,0.64,0.252,0.0,1.0
216_1F6Y.A,0.0,0.93,0.207,1.0,1.0
217_1F6Y.A,0.0,0.97,0.263,1.0,1.0
241_1F6Y.A,0.0,0.82,0.54,0.1,1.0
244_1F6Y.A,0.341,0.95,0.667,0.8,1.0
245_1F6Y.A,0.193,0.98,0.834,0.6,1.0
246_1F6Y.A,0.273,0.96,0.347,0.9,1.0
247_1F6Y.A,0.187,0.86,0.556,0.1,1.0
249_1F6Y.A,0.273,0.95,0.284,0.2,1.0
251_1F6Y.A,1.0,0.96,1.0,0.0,1.0
253_1F6Y.A,0.287,0.96,0.744,0.1,1.0
251_1FC2.D,0.0,0.0,0.02,0.0,1.0
252_1FC2.D,0.628,0.02,0.063,0.1,1.0
253_1FC2.D,1.0,0.12,0.063,0.2,1.0
254_1FC2.D,0.426,0.02,0.074,0.1,1.0
309_1FC2.D,0.535,0.02,0.018,0.0,1.0
311_1FC2.D,0.704,0.02,0.021,0.0,1.0
432_1FC2.D,0.194,0.0,0.009,0.0,1.0
433_1FC2.D,0.458,0.05,0.053,0.0,1.0
434_1FC2.D,0.676,0.03,0.067,0.1,1.0
435_1FC2.D,0.653,0.05,0.027,0.1,1.0
92_1FFW.A,0.166,0.95,0.151,0.9,1.0
96_1FFW.A,0.084,0.98,0.154,0.3,1.0
100_1FFW.A,0.117,0.6,0.179,0.1,1.0
103_1FFW.A,0.0,0.05,0.104,0.0,1.0
105_1FFW.A,0.117,0.16,0.091,0.0,1.0
106_1FFW.A,0.117,0.22,0.204,0.2,1.0
122_1FFW.A,0.085,0.03,0.132,0.0,1.0
126_1FFW.A,0.117,0.03,0.312,0.0,1.0
178_1FFW.B,0.032,0.86,0.533,0.6,1.0
181_1FFW.B,0.099,0.92,0.466,0.5,1.0
182_1FFW.B,0.244,0.52,0.299,0.3,1.0
203_1FFW.B,0.166,0.46,0.128,0.0,1.0
207_1FFW.B,0.185,0.99,0.318,0.4,1.0
213_1FFW.B,0.347,0.82,0.574,0.5,1.0
214_1FFW.B,0.347,0.93,1.0,0.9,1.0
215_1FFW.B,0.322,0.94,0.512,0.5,1.0
216_1FFW.B,0.0,0.0,0.197,0.0,1.0
217_1FFW.B,0.052,0.98,0.351,0.0,1.0
37_1FIN.A,0.0,0.0,0.041,0.0,1.0
39_1FIN.A,0.0,0.04,0.041,0.0,1.0
40_1FIN.A,0.0,0.02,0.137,0.0,1.0
41_1FIN.A,0.0,0.09,0.254,0.0,1.0
42_1FIN.A,0.0,0.07,0.303,0.9,1.0
44_1FIN.A,0.0,0.05,0.149,0.0,1.0
46_1FIN.A,0.0,0.05,0.359,0.4,1.0
49_1FIN.A,0.0,0.1,0.238,0.0,1.0
50_1FIN.A,0.0,0.0,0.303,0.0,1.0
52_1FIN.A,0.0,0.12,0.037,0.0,1.0
53_1FIN.A,0.0,0.02,0.132,0.0,1.0
56_1FIN.A,0.0,0.02,0.103,0.0,1.0
57_1FIN.A,0.0,0.02,0.179,0.0,1.0
71_1FIN.A,0.4,0.02,0.083,0.0,1.0
119_1FIN.A,0.0,0.0,0.22,0.0,1.0
120_1FIN.A,0.0,0.01,0.412,0.0,1.0
122_1FIN.A,0.0,0.01,0.452,0.9,1.0
150_1FIN.A,0.416,0.09,0.431,0.3,1.0
152_1FIN.A,0.416,0.05,0.617,0.1,1.0
154_1FIN.A,0.548,0.26,0.871,0.2,1.0
156_1FIN.A,0.279,0.0,0.353,0.3,1.0
159_1FIN.A,0.918,0.44,0.614,0.1,1.0
180_1FIN.A,0.051,0.0,0.357,0.0,1.0
181_1FIN.A,0.079,0.02,0.442,0.0,1.0
182_1FIN.A,0.0,0.02,0.337,0.0,1.0
272_1FIN.A,0.0,0.01,0.682,0.0,1.0
276_1FIN.A,0.0,0.01,0.178,0.0,1.0
277_1FIN.A,0.0,0.0,0.018,0.0,1.0
278_1FIN.A,0.0,0.01,0.429,0.0,1.0
57_1FLE.E,0.0,0.89,0.019,0.9,1.0
97_1FLE.E,0.0,0.9,0.053,0.0,1.0
99_1FLE.E,0.341,0.17,0.917,0.6,1.0
172_1FLE.E,0.382,0.0,0.608,0.0,1.0
192_1FLE.E,0.0,0.29,0.036,0.0,1.0
193_1FLE.E,0.0,0.63,0.021,0.0,1.0
195_1FLE.E,0.0,0.85,0.013,0.0,1.0
214_1FLE.E,0.259,0.0,0.008,0.0,1.0
215_1FLE.E,0.155,0.0,0.671,0.4,1.0
216_1FLE.E,0.0,0.85,0.656,0.1,1.0
217_1FLE.E,0.0,0.52,0.673,0.1,1.0
3_1FRV.A,0.0,0.68,0.004,0.0,1.0
4_1FRV.A,0.0,0.78,0.007,1.0,1.0
5_1FRV.A,0.0,0.97,0.011,1.0,1.0
6_1FRV.A,0.0,0.98,0.011,1.0,1.0
13_1FRV.A,0.0,0.0,0.012,0.0,1.0
14_1FRV.A,0.0,0.0,0.017,0.0,1.0
17_1FRV.A,0.0,0.96,0.27,0.0,1.0
18_1FRV.A,0.0,0.92,0.065,0.0,1.0
19_1FRV.A,0.0,0.91,0.101,0.0,1.0
25_1FRV.A,0.0,0.98,0.047,0.0,1.0
26_1FRV.A,0.0,0.98,0.135,0.0,1.0
31_1FRV.A,0.0,0.99,0.097,0.0,1.0
33_1FRV.A,0.0,0.97,0.06,1.0,1.0
38_1FRV.A,0.0,0.92,0.025,0.0,1.0
41_1FRV.A,0.0,0.0,0.005,0.0,1.0
42_1FRV.A,0.0,0.99,0.007,0.0,1.0
43_1FRV.A,0.0,0.55,0.006,0.0,1.0
46_1FRV.A,0.0,0.94,0.018,0.0,1.0
47_1FRV.A,0.0,0.97,0.02,0.0,1.0
48_1FRV.A,0.0,0.96,0.025,0.9,1.0
49_1FRV.A,0.0,0.96,0.017,1.0,1.0
50_1FRV.A,0.0,0.96,0.017,0.0,1.0
51_1FRV.A,0.0,0.97,0.011,1.0,1.0
52_1FRV.A,0.0,0.98,0.012,0.0,1.0
53_1FRV.A,0.0,0.97,0.013,1.0,1.0
54_1FRV.A,0.0,0.99,0.016,0.0,1.0
55_1FRV.A,0.0,0.97,0.004,1.0,1.0
58_1FRV.A,0.0,0.75,0.003,0.1,1.0
83_1FRV.A,0.234,0.98,0.346,0.2,1.0
84_1FRV.A,0.148,0.96,0.395,0.2,1.0
86_1FRV.A,0.112,0.97,0.168,0.3,1.0
88_1FRV.A,0.0,0.77,0.03,0.0,1.0
89_1FRV.A,0.112,0.97,0.054,0.4,1.0
92_1FRV.A,0.112,0.0,0.028,0.0,1.0
118_1FRV.A,0.0,0.96,0.442,0.9,1.0
119_1FRV.A,0.0,0.79,0.196,0.0,1.0
121_1FRV.A,0.0,0.37,0.238,0.1,1.0
122_1FRV.A,0.0,0.91,0.351,0.1,1.0
126_1FRV.A,0.159,0.49,0.22,0.3,1.0
148_1FRV.A,0.0,0.9,0.295,0.1,1.0
149_1FRV.A,0.0,0.93,0.144,0.8,1.0
203_1FRV.A,0.0,0.99,0.762,0.4,1.0
204_1FRV.A,0.0,0.88,0.408,0.0,1.0
209_1FRV.A,0.0,0.98,0.174,0.0,1.0
233_1FRV.A,0.0,0.88,0.115,0.7,1.0
234_1FRV.A,0.0,0.94,0.175,0.0,1.0
235_1FRV.A,0.0,0.8,0.107,0.5,1.0
236_1FRV.A,0.0,0.96,0.143,0.2,1.0
