residue,predus,ispred,dockpred,annotated,vorfip
87_1ACB.E,0.0,0.35,0.02742,0,0.12
88_1ACB.E,0.0,0.46,0.036160000000000005,0,0.12
89_1ACB.E,0.0,0.67,0.028789999999999996,0,0.065
90_1ACB.E,0.0,0.67,0.18031,0,0.2
91_1ACB.E,0.0,0.0,0.020980000000000002,0,0.035
92_1ACB.E,0.0,0.59,0.03895,0,0.13
93_1ACB.E,0.0,0.77,0.02207,0,0.195
94_1ACB.E,0.085,0.68,0.33468000000000003,0,0.215
95_1ACB.E,0.085,0.42,0.0473,0,0.125
96_1ACB.E,0.051,0.85,0.45403000000000004,0,0.25
97_1ACB.E,0.11199999999999999,0.95,0.39946,0,0.41
98_1ACB.E,0.2,0.95,0.09532,0,0.305
99_1ACB.E,0.2,0.47,0.33992,0,0.505
100_1ACB.E,0.084,0.56,0.00126,0,0.08
101_1ACB.E,0.0,0.24,0.00158,0,0.065
102_1ACB.E,0.0,0.0,0.026269999999999998,0,0.07
103_1ACB.E,0.0,0.0,0.00011,0,0.0
104_1ACB.E,0.0,0.0,0.01218,0,0.04
105_1ACB.E,0.0,0.0,0.00055,0,0.0
106_1ACB.E,0.0,0.0,0.00011,0,0.0
107_1ACB.E,0.0,0.06,0.00869,0,0.085
108_1ACB.E,0.0,0.0,0.00131,0,0.02
109_1ACB.E,0.0,0.04,0.00415,0,0.065
110_1ACB.E,0.0,0.08,0.00557,0,0.035
111_1ACB.E,0.0,0.04,0.01125,0,0.015
112_1ACB.E,0.0,0.0,0.010709999999999999,0,0.045
113_1ACB.E,0.0,0.24,0.01759,0,0.045
114_1ACB.E,0.0,0.47,0.055389999999999995,0,0.205
115_1ACB.E,0.0,0.06,0.036000000000000004,0,0.075
116_1ACB.E,0.0,0.07,0.04042,0,0.16
117_1ACB.E,0.0,0.03,0.00606,0,0.11
118_1ACB.E,0.0,0.0,0.0059,0,0.01
119_1ACB.E,0.0,0.03,0.03501,0,0.175
120_1ACB.E,0.0,0.0,0.03638,0,0.145
121_1ACB.E,0.0,0.0,0.018680000000000002,0,0.015
122_1ACB.E,0.0,0.0,0.04009,0,0.155
123_1ACB.E,0.0,0.08,0.03561,0,0.09
124_1ACB.E,0.0,0.0,0.020919999999999998,0,0.025
125_1ACB.E,0.0,0.05,0.02414,0,0.075
126_1ACB.E,0.0,0.1,0.00798,0,0.03
127_1ACB.E,0.0,0.04,0.008190000000000001,0,0.095
128_1ACB.E,0.0,0.03,0.01229,0,0.03
129_1ACB.E,0.0,0.06,0.00792,0,0.03
130_1ACB.E,0.0,0.0,0.0061200000000000004,0,0.03
131_1ACB.E,0.0,0.04,0.01054,0,0.08
132_1ACB.E,0.0,0.06,0.022119999999999997,0,0.05
133_1ACB.E,0.0,0.21,0.03436,0,0.065
134_1ACB.E,0.0,0.04,0.01961,0,0.035
135_1ACB.E,0.0,0.03,0.02988,0,0.09
136_1ACB.E,0.0,0.0,0.00147,0,0.01
137_1ACB.E,0.0,0.0,0.00011,0,0.0
138_1ACB.E,0.0,0.0,0.0,0,0.0
139_1ACB.E,0.0,0.0,0.0,0,0.0
140_1ACB.E,0.0,0.0,5e-05,0,0.0
141_1ACB.E,0.0,0.0,0.06548999999999999,0,0.105
142_1ACB.E,0.0,0.0,0.04293,0,0.0
143_1ACB.E,0.09300000000000001,0.0,0.5481,0,0.395
144_1ACB.E,0.085,0.05,0.01284,0,0.085
145_1ACB.E,0.139,0.52,0.16901,0,0.435
146_1ACB.E,0.455,0.98,0.8773700000000001,1,0.6
149_1ACB.E,0.02,0.9,0.64079,0,0.43
150_1ACB.E,0.085,0.46,0.18408,0,0.23
151_1ACB.E,0.085,0.38,0.44087,0,0.32
152_1ACB.E,0.084,0.0,0.04244,0,0.08
153_1ACB.E,0.11199999999999999,0.14,0.08696,0,0.21
154_1ACB.E,0.0,0.04,0.0124,0,0.115
155_1ACB.E,0.0,0.0,0.0,0,0.01
156_1ACB.E,0.0,0.0,0.00158,0,0.035
157_1ACB.E,0.0,0.0,0.0007099999999999999,0,0.005
158_1ACB.E,0.0,0.0,0.0018,0,0.005
159_1ACB.E,0.0,0.02,0.01289,0,0.03
160_1ACB.E,0.0,0.0,0.00792,0,0.005
161_1ACB.E,0.0,0.03,0.0313,0,0.1
162_1ACB.E,0.0,0.0,0.015019999999999999,0,0.01
163_1ACB.E,0.0,0.0,0.02682,0,0.07
164_1ACB.E,0.009000000000000001,0.08,0.01196,0,0.08
165_1ACB.E,0.051,0.06,0.00109,0,0.055
166_1ACB.E,0.035,0.41,0.01409,0,0.095
167_1ACB.E,0.035,0.22,0.04293,0,0.13
168_1ACB.E,0.0,0.0,0.0030600000000000002,0,0.0
169_1ACB.E,0.18600000000000003,0.31,0.040260000000000004,0,0.14
170_1ACB.E,0.084,0.11,0.10914000000000001,0,0.33
171_1ACB.E,0.18100000000000002,0.08,0.1542,0,0.415
172_1ACB.E,0.299,0.48,0.23947,0,0.635
173_1ACB.E,0.111,0.21,0.05632,0,0.275
174_1ACB.E,0.141,0.53,0.04922,0,0.32
175_1ACB.E,0.185,0.94,0.25471,0,0.545
176_1ACB.E,0.04,0.0,0.00037999999999999997,0,0.07
177_1ACB.E,0.04,0.86,0.01065,0,0.09
178_1ACB.E,0.0,0.56,0.00131,0,0.055
179_1ACB.E,0.0,0.0,0.00033,0,0.015
180_1ACB.E,0.0,0.0,0.004370000000000001,0,0.04
181_1ACB.E,0.0,0.0,0.00037999999999999997,0,0.005
182_1ACB.E,0.0,0.0,0.0,0,0.0
183_1ACB.E,0.0,0.0,0.00016,0,0.0
184_1ACB.E,0.0,0.0,0.02136,0,0.01
185_1ACB.E,0.0,0.2,0.051460000000000006,0,0.075
186_1ACB.E,0.0,0.11,0.04725,0,0.05
187_1ACB.E,0.0,0.1,0.039,0,0.025
188_1ACB.E,0.0,0.0,0.00945,0,0.045
189_1ACB.E,0.17800000000000002,0.0,0.00262,0,0.235
190_1ACB.E,0.18600000000000003,0.0,0.02163,0,0.34
191_1ACB.E,0.494,0.0,0.14683,1,0.48
192_1ACB.E,1.0,0.19,0.9005799999999999,1,0.75
193_1ACB.E,0.141,0.64,0.46593999999999997,1,0.515
194_1ACB.E,0.0,0.0,0.02474,0,0.14
195_1ACB.E,0.126,0.46,0.31971,1,0.865
196_1ACB.E,0.0,0.0,0.00268,0,0.0
197_1ACB.E,0.0,0.0,5e-05,0,0.015
198_1ACB.E,0.0,0.0,0.0,0,0.0
199_1ACB.E,0.0,0.0,0.0,0,0.0
200_1ACB.E,0.0,0.0,0.0,0,0.0
201_1ACB.E,0.0,0.0,0.00279,0,0.025
202_1ACB.E,0.0,0.52,0.032389999999999995,0,0.235
203_1ACB.E,0.0,0.27,0.02054,0,0.065
204_1ACB.E,0.0,0.14,0.040310000000000006,0,0.235
205_1ACB.E,0.0,0.08,0.036430000000000004,0,0.14
206_1ACB.E,0.0,0.22,0.02305,0,0.235
207_1ACB.E,0.0,0.0,0.014369999999999999,0,0.04
208_1ACB.E,0.0,0.0,0.00847,0,0.01
209_1ACB.E,0.0,0.0,5e-05,0,0.0
210_1ACB.E,0.0,0.0,0.00011,0,0.005
211_1ACB.E,0.0,0.0,0.0,0,0.0
212_1ACB.E,0.0,0.0,0.0,0,0.0
213_1ACB.E,0.0,0.0,0.02136,0,0.34
214_1ACB.E,0.0,0.0,0.18059,1,0.795
215_1ACB.E,0.141,0.64,0.32321,1,0.645
216_1ACB.E,0.18600000000000003,0.88,0.30955,1,0.715
217_1ACB.E,0.18600000000000003,0.0,0.30229,0,0.575
218_1ACB.E,0.18600000000000003,0.64,0.77582,1,0.65
219_1ACB.E,0.111,0.52,0.33899999999999997,0,0.495
220_1ACB.E,0.0,0.0,0.11438,0,0.185
221_1ACB.E,0.052000000000000005,0.46,0.09068,0,0.185
222_1ACB.E,0.0,0.34,0.049980000000000004,0,0.095
223_1ACB.E,0.0,0.37,0.10652,0,0.12
224_1ACB.E,0.024,0.04,0.09745,0,0.125
225_1ACB.E,0.0,0.0,0.005679999999999999,0,0.045
226_1ACB.E,0.085,0.0,0.00262,0,0.115
227_1ACB.E,0.0,0.0,0.00361,0,0.01
228_1ACB.E,0.0,0.0,0.00033,0,0.005
229_1ACB.E,0.0,0.0,0.0,0,0.03
230_1ACB.E,0.0,0.02,0.0006,0,0.055
231_1ACB.E,0.0,0.0,0.0,0,0.0
232_1ACB.E,0.0,0.02,0.00066,0,0.025
233_1ACB.E,0.0,0.03,0.00137,0,0.03
234_1ACB.E,0.0,0.0,0.00066,0,0.02
235_1ACB.E,0.0,0.0,0.01169,0,0.005
236_1ACB.E,0.0,0.18,0.01087,0,0.035
237_1ACB.E,0.0,0.63,0.0207,0,0.045
238_1ACB.E,0.0,0.0,0.010490000000000001,0,0.0
239_1ACB.E,0.0,0.92,0.03354,0,0.08
240_1ACB.E,0.0,0.89,0.02458,0,0.05
241_1ACB.E,0.0,0.0,0.018080000000000002,0,0.01
242_1ACB.E,0.0,0.69,0.03081,0,0.12
243_1ACB.E,0.0,0.46,0.0301,0,0.105
244_1ACB.E,0.0,0.81,0.02507,0,0.085
245_1ACB.E,0.0,0.71,0.035339999999999996,0,0.075
8_1ACB.I,0.033,0.31,0.88669,0,0.38
9_1ACB.I,0.047,0.06,0.49038000000000004,0,0.17
10_1ACB.I,0.0,0.0,0.21734,0,0.03
11_1ACB.I,0.0,0.02,0.24423000000000003,0,0.17
12_1ACB.I,0.0,0.02,0.27352,0,0.21
13_1ACB.I,0.0,0.0,0.01828,0,0.0
14_1ACB.I,0.0,0.06,0.10929000000000001,0,0.105
15_1ACB.I,0.0,0.01,0.07053,0,0.095
16_1ACB.I,0.0,0.01,0.09341,0,0.115
17_1ACB.I,0.0,0.01,0.05972,0,0.04
18_1ACB.I,0.0,0.0,0.3319,0,0.085
19_1ACB.I,0.0,0.02,0.40138,0,0.12
20_1ACB.I,0.047,0.01,0.07159,0,0.18
21_1ACB.I,0.0,0.0,0.00421,0,0.005
22_1ACB.I,0.07,0.01,0.7952,0,0.39
23_1ACB.I,0.078,0.01,0.14193,0,0.285
24_1ACB.I,0.049,0.01,0.19667,0,0.215
25_1ACB.I,0.0,0.0,0.08613,0,0.09
26_1ACB.I,0.079,0.02,0.27476,0,0.21
27_1ACB.I,0.049,0.31,0.21111999999999997,0,0.33
28_1ACB.I,0.055,0.17,0.42176,0,0.27
29_1ACB.I,0.031,0.03,0.45918000000000003,0,0.185
30_1ACB.I,0.031,0.02,0.39994,0,0.22
31_1ACB.I,0.086,0.02,0.6149899999999999,0,0.135
32_1ACB.I,0.086,0.0,0.69758,0,0.145
33_1ACB.I,0.168,0.05,0.65327,0,0.23
34_1ACB.I,0.033,0.0,0.47593,0,0.215
35_1ACB.I,0.078,0.02,0.90296,0,0.74
36_1ACB.I,0.009000000000000001,0.0,0.74974,0,0.32
37_1ACB.I,0.0,0.04,0.6482899999999999,0,0.635
38_1ACB.I,0.0,0.03,0.6057,0,0.305
39_1ACB.I,0.0,0.02,0.33841,0,0.26
40_1ACB.I,0.0,0.05,0.43909,0,0.59
41_1ACB.I,0.0,0.35,0.7128899999999999,1,0.67
42_1ACB.I,0.166,0.96,0.6987300000000001,1,0.675
43_1ACB.I,0.22699999999999998,0.25,0.6845600000000001,1,0.675
44_1ACB.I,0.185,0.96,0.5524899999999999,1,0.625
45_1ACB.I,0.281,0.67,0.57709,1,0.75
46_1ACB.I,0.245,0.98,0.50368,1,0.71
47_1ACB.I,0.649,0.97,0.77883,1,0.74
48_1ACB.I,1.0,0.17,0.59068,1,0.765
49_1ACB.I,0.433,0.24,1.0,1,0.465
50_1ACB.I,0.306,0.12,0.53182,0,0.22
51_1ACB.I,0.306,0.0,0.32482,0,0.275
52_1ACB.I,0.0,0.0,0.03646,0,0.0
53_1ACB.I,0.222,0.1,0.61317,0,0.775
54_1ACB.I,0.0,0.0,0.04977,0,0.0
55_1ACB.I,0.047,0.26,0.45947,1,0.29
56_1ACB.I,0.0,0.05,0.62915,0,0.195
57_1ACB.I,0.0,0.04,0.10507999999999999,0,0.1
58_1ACB.I,0.0,0.01,0.35688000000000003,0,0.105
59_1ACB.I,0.0,0.01,0.19935,0,0.14
60_1ACB.I,0.0,0.01,0.11197,0,0.135
61_1ACB.I,0.0,0.01,0.38118,0,0.165
62_1ACB.I,0.0,0.02,0.04278,0,0.05
63_1ACB.I,0.0,0.0,0.025269999999999997,0,0.0
64_1ACB.I,0.0,0.01,0.16758,0,0.195
65_1ACB.I,0.0,0.01,0.37468,0,0.2
66_1ACB.I,0.0,0.02,0.37487,0,0.185
67_1ACB.I,0.0,0.0,0.13627999999999998,0,0.08
68_1ACB.I,0.17600000000000002,0.01,0.62408,1,0.395
69_1ACB.I,0.078,0.0,0.5367,0,0.25
70_1ACB.I,0.258,0.01,0.37209000000000003,0,0.265
1_1AHW.A,0.0,0.05,0.02285,0,0.065
2_1AHW.A,0.0,0.0,0.00249,0,0.02
3_1AHW.A,0.0,0.01,0.0068,0,0.1
4_1AHW.A,0.0,0.0,0.00307,0,0.055
5_1AHW.A,0.0,0.01,0.0088,0,0.06
6_1AHW.A,0.0,0.0,0.00943,0,0.045
7_1AHW.A,0.0,0.0,0.015380000000000001,0,0.06
8_1AHW.A,0.0,0.0,0.02436,0,0.095
9_1AHW.A,0.0,0.03,0.03063,0,0.075
10_1AHW.A,0.0,0.02,0.04108,0,0.125
11_1AHW.A,0.0,0.08,0.02903,0,0.07
12_1AHW.A,0.034,0.04,0.04935,0,0.165
13_1AHW.A,0.0,0.0,0.01089,0,0.01
14_1AHW.A,0.0,0.09,0.01151,0,0.05
15_1AHW.A,0.0,0.13,0.00205,0,0.03
16_1AHW.A,0.0,0.02,0.00249,0,0.05
17_1AHW.A,0.013000000000000001,0.02,0.01627,0,0.1
18_1AHW.A,0.0,0.02,0.013869999999999999,0,0.185
19_1AHW.A,0.0,0.0,0.00662,0,0.015
20_1AHW.A,0.0,0.01,0.01023,0,0.055
21_1AHW.A,0.0,0.0,0.0014199999999999998,0,0.0
22_1AHW.A,0.0,0.01,0.00525,0,0.03
23_1AHW.A,0.0,0.0,0.00013000000000000002,0,0.0
24_1AHW.A,0.0,0.01,0.010709999999999999,0,0.115
25_1AHW.A,0.0,0.0,0.00098,0,0.0
26_1AHW.A,0.0,0.01,0.00249,0,0.035
27_1AHW.A,0.0,0.02,0.0233,0,0.155
28_1AHW.A,0.0,0.33,0.09398,0,0.19
29_1AHW.A,0.0,0.0,0.00938,0,0.13
30_1AHW.A,0.237,0.49,0.49713,1,0.605
31_1AHW.A,0.121,0.46,0.36856,0,0.395
32_1AHW.A,0.569,0.84,0.7795300000000001,1,0.725
33_1AHW.A,0.0,0.0,9e-05,0,0.0
34_1AHW.A,0.0,0.0,0.00133,0,0.045
35_1AHW.A,0.0,0.0,0.0,0,0.005
36_1AHW.A,0.0,0.0,4e-05,0,0.005
37_1AHW.A,0.0,0.0,0.00053,0,0.015
38_1AHW.A,0.0,0.0,0.00049,0,0.075
39_1AHW.A,0.0,0.0,0.00093,0,0.03
40_1AHW.A,0.0,0.15,0.0017800000000000001,0,0.12
41_1AHW.A,0.0,0.26,0.00565,0,0.395
42_1AHW.A,0.0,0.41,0.00373,0,0.135
43_1AHW.A,0.0,0.1,0.00213,0,0.065
44_1AHW.A,0.0,0.0,0.0008900000000000001,0,0.1
45_1AHW.A,0.0,0.61,0.00951,0,0.03
46_1AHW.A,0.0,0.0,0.0048,0,0.05
47_1AHW.A,0.0,0.0,0.0004,0,0.005
48_1AHW.A,0.0,0.0,0.0033799999999999998,0,0.0
49_1AHW.A,0.302,0.69,0.65376,0,0.505
50_1AHW.A,0.62,0.99,0.85515,1,0.77
51_1AHW.A,0.0,0.0,0.01569,0,0.06
52_1AHW.A,0.10800000000000001,0.35,0.2619,0,0.22
53_1AHW.A,0.20199999999999999,0.99,0.51652,0,0.33
54_1AHW.A,0.10800000000000001,0.99,0.282,0,0.11
55_1AHW.A,0.20199999999999999,0.0,0.21949000000000002,0,0.07
56_1AHW.A,0.16,0.8,0.24634,0,0.23
57_1AHW.A,0.0,0.47,0.11807999999999999,0,0.035
58_1AHW.A,0.0,0.0,0.05313,0,0.02
59_1AHW.A,0.0,0.16,0.022269999999999998,0,0.005
60_1AHW.A,0.0,0.69,0.06709,0,0.16
61_1AHW.A,0.0,0.0,0.014490000000000001,0,0.045
62_1AHW.A,0.0,0.0,0.01974,0,0.01
63_1AHW.A,0.0,0.06,0.03815,0,0.015
64_1AHW.A,0.0,0.0,0.035339999999999996,0,0.0
65_1AHW.A,0.0,0.04,0.0445,0,0.045
66_1AHW.A,0.0,0.15,0.05095,0,0.015
67_1AHW.A,0.0,0.04,0.09261,0,0.11
68_1AHW.A,0.0,0.0,0.02454,0,0.085
69_1AHW.A,0.0,0.02,0.00627,0,0.02
70_1AHW.A,0.0,0.02,0.0088,0,0.04
71_1AHW.A,0.0,0.0,0.0033299999999999996,0,0.005
72_1AHW.A,0.0,0.01,0.0052,0,0.015
73_1AHW.A,0.0,0.0,0.00013000000000000002,0,0.0
74_1AHW.A,0.0,0.03,0.0084,0,0.02
75_1AHW.A,0.0,0.0,0.00044,0,0.0
76_1AHW.A,0.0,0.01,0.0112,0,0.015
77_1AHW.A,0.0,0.02,0.00387,0,0.035
78_1AHW.A,0.0,0.0,0.00044,0,0.005
79_1AHW.A,0.0,0.14,0.00502,0,0.055
80_1AHW.A,0.0,0.02,0.00084,0,0.025
81_1AHW.A,0.0,0.03,0.0038200000000000005,0,0.02
82_1AHW.A,0.0,0.0,0.00027,0,0.0
83_1AHW.A,0.0,0.0,9e-05,0,0.005
84_1AHW.A,0.0,0.0,0.00018,0,0.0
85_1AHW.A,0.0,0.06,0.00218,0,0.06
86_1AHW.A,0.0,0.0,0.0,0,0.0
87_1AHW.A,0.0,0.0,0.00316,0,0.085
88_1AHW.A,0.0,0.0,0.0,0,0.0
89_1AHW.A,0.0,0.0,0.0,0,0.0
90_1AHW.A,0.0,0.0,0.00067,0,0.0
91_1AHW.A,0.0,0.0,0.23158,1,0.39
92_1AHW.A,0.35,0.92,0.28355,1,0.635
93_1AHW.A,0.16,0.56,0.19802,1,0.34
94_1AHW.A,0.0,0.13,0.12630999999999998,1,0.22
95_1AHW.A,0.0,0.0,0.0057799999999999995,0,0.05
96_1AHW.A,0.0,0.0,0.24434,1,0.22
97_1AHW.A,0.0,0.04,0.0016,0,0.04
98_1AHW.A,0.0,0.0,0.00249,0,0.045
99_1AHW.A,0.0,0.0,0.00391,0,0.105
100_1AHW.A,0.0,0.01,0.00983,0,0.165
101_1AHW.A,0.0,0.0,0.00614,0,0.03
102_1AHW.A,0.0,0.0,0.00231,0,0.0
103_1AHW.A,0.0,0.03,0.013340000000000001,0,0.05
104_1AHW.A,0.0,0.0,0.0011099999999999999,0,0.005
105_1AHW.A,0.0,0.0,0.024630000000000003,0,0.1
106_1AHW.A,0.0,0.0,0.00031,0,0.0
107_1AHW.A,0.013000000000000001,0.03,0.02765,0,0.16
108_1AHW.A,0.013000000000000001,0.01,0.0072900000000000005,0,0.015
109_1AHW.A,0.0,0.01,0.00365,0,0.145
110_1AHW.A,0.0,0.01,0.010579999999999999,0,0.16
111_1AHW.A,0.0,0.01,0.00084,0,0.05
112_1AHW.A,0.0,0.01,0.00151,0,0.07
113_1AHW.A,0.0,0.0,0.0012,0,0.015
114_1AHW.A,0.0,0.02,0.0014199999999999998,0,0.115
115_1AHW.A,0.0,0.0,0.0007099999999999999,0,0.02
116_1AHW.A,0.0,0.0,0.00027,0,0.0
117_1AHW.A,0.0,0.0,0.0022199999999999998,0,0.095
118_1AHW.A,0.0,0.0,0.0012900000000000001,0,0.0
119_1AHW.A,0.0,0.03,0.0067599999999999995,0,0.085
120_1AHW.A,0.0,0.0,0.00245,0,0.07
121_1AHW.A,0.0,0.0,0.0028899999999999998,0,0.01
122_1AHW.A,0.0,0.02,0.0052,0,0.04
123_1AHW.A,0.0,0.02,0.0034700000000000004,0,0.04
124_1AHW.A,0.0,0.0,0.0007599999999999999,0,0.06
125_1AHW.A,0.0,0.0,0.00084,0,0.015
126_1AHW.A,0.0,0.09,0.00187,0,0.035
127_1AHW.A,0.0,0.59,0.00236,0,0.04
128_1AHW.A,0.0,0.04,0.00133,0,0.0
129_1AHW.A,0.0,0.02,0.0011099999999999999,0,0.025
130_1AHW.A,0.0,0.0,0.00013000000000000002,0,0.0
131_1AHW.A,0.0,0.0,0.00018,0,0.0
132_1AHW.A,0.0,0.0,0.0,0,0.0
133_1AHW.A,0.0,0.0,0.0,0,0.0
134_1AHW.A,0.0,0.0,0.0,0,0.0
135_1AHW.A,0.0,0.0,0.0,0,0.0
136_1AHW.A,0.0,0.0,0.0,0,0.0
137_1AHW.A,0.0,0.0,0.00013000000000000002,0,0.075
138_1AHW.A,0.0,0.01,0.00098,0,0.18
139_1AHW.A,0.0,0.0,4e-05,0,0.0
140_1AHW.A,0.0,0.0,0.01889,0,0.21
141_1AHW.A,0.0,0.01,0.017830000000000002,0,0.465
142_1AHW.A,0.0,0.01,0.03414,0,0.185
143_1AHW.A,0.0,0.01,0.04095,0,0.46
144_1AHW.A,0.0,0.0,0.022359999999999998,0,0.095
145_1AHW.A,0.0,0.01,0.024319999999999998,0,0.27
146_1AHW.A,0.0,0.0,0.01325,0,0.055
147_1AHW.A,0.0,0.01,0.01778,0,0.07
148_1AHW.A,0.0,0.0,0.0012,0,0.0
149_1AHW.A,0.0,0.01,0.0014199999999999998,0,0.03
150_1AHW.A,0.0,0.0,0.00018,0,0.005
151_1AHW.A,0.0,0.01,0.0011099999999999999,0,0.04
152_1AHW.A,0.0,0.01,0.0011099999999999999,0,0.02
153_1AHW.A,0.0,0.01,0.00302,0,0.065
154_1AHW.A,0.0,0.01,0.00218,0,0.02
155_1AHW.A,0.0,0.01,0.01569,0,0.11
156_1AHW.A,0.0,0.01,0.011290000000000001,0,0.05
157_1AHW.A,0.0,0.02,0.0197,0,0.06
158_1AHW.A,0.0,0.02,0.0124,0,0.055
159_1AHW.A,0.0,0.03,0.019209999999999998,0,0.08
160_1AHW.A,0.0,0.09,0.01725,0,0.075
161_1AHW.A,0.0,0.55,0.02779,0,0.29
162_1AHW.A,0.0,0.0,0.01258,0,0.125
163_1AHW.A,0.0,0.07,0.03259,0,0.13
164_1AHW.A,0.0,0.0,0.00302,0,0.125
165_1AHW.A,0.0,0.58,0.00471,0,0.13
166_1AHW.A,0.0,0.0,0.00067,0,0.01
167_1AHW.A,0.0,0.06,0.0004,0,0.025
168_1AHW.A,0.0,0.09,0.00133,0,0.02
169_1AHW.A,0.0,0.1,0.0037799999999999995,0,0.095
170_1AHW.A,0.0,0.02,0.00098,0,0.04
171_1AHW.A,0.0,0.0,0.00022,0,0.01
172_1AHW.A,0.0,0.0,0.00022,0,0.005
173_1AHW.A,0.0,0.0,0.01027,0,0.02
