Protein,dock_not_ispred,ispred_not_dock,ispred_res,dock_res,delta_ispred_dock
1LUC.A,,,326,326,0
1XIK.A,,,340,340,0
1ZBD.A,,,171,171,0
1AVW.A,,,220,220,0
2HDH.A,,,286,286,0
1CVS.A,,,129,129,0
1VLT.A,,,142,142,0
2PFL.A,,,759,759,0
1B8J.A,,,448,448,0
1F6Y.A,,,258,258,0
1HLU.A,,,373,373,0
1B3A.A,,,67,67,0
1ATN.A,,,371,371,0
1QFE.A,,,252,252,0
1NSE.A,,,416,416,0
1CSE.I,,,63,63,0
1D09.A,,,310,310,0
1CQI.A,,,286,286,0
1GUX.A,,,177,177,0
1B6C.A,,,107,107,0
1PP2.L,,,122,122,0
1AOM.A,,,439,439,0
1QBI.A,,,434,434,0
1FIN.A,,,298,298,0
3HHR.A,,,184,184,0
1BO1.A,,,326,326,0
1EG9.A,,,447,447,0
1YCS.A,,,191,191,0
1KPE.A,,,113,113,0
1KAC.A,,,185,185,0
1TX4.A,,,196,196,0
2HHM.A,,,272,272,0
1COZ.A,,,126,126,0
1FSS.A,,,532,532,0
1BML.A,,,250,250,0
1HGX.A,,,164,164,0
1A4Y.A,,,460,460,0
1PNK.A,,,193,193,0
1A4I.A,,,285,285,0
1ONE.A,,,436,436,0
1B8A.A,,,438,438,0
1B7B.A,,,307,307,0
1WGJ.A,,,282,282,0
1AJS.A,,,412,412,0
1FRV.A,,,262,262,0
1LFD.A,,,87,87,0
1EAI.C,,,61,61,0
1EUV.A,,,221,221,0
1QBK.B,,,856,856,0
1PDK.A,,,215,215,0
3C98.A,,,556,556,0
1HSS.A,,,111,111,0
1BRM.A,,,356,356,0
1CC0.A,,,187,187,0
4MDH.A,,,333,333,0
1DCE.A,,,566,566,0
1BYF.A,,,123,123,0
1BKD.R,,,166,166,0
1REQ.A,,,727,727,0
1ETH.A,,,448,448,0
1B9M.A,,,255,255,0
1GPE.A,,,587,587,0
1ITB.A,,,153,153,0
1SMT.A,,,98,98,0
1CNZ.A,,,363,363,0
1VOK.A,,,192,192,0
1A0F.A,,,201,201,0
1QFH.A,,,212,212,0
2AAI.A,,,267,267,0
1TGS.I,,,55,55,0
1DHK.A,,,495,495,0
