residue	predus	ispred	dockpred	annotated	rfscore	logreg
63_1AK4.A	0.0	0.0	0.11175	1	0.053104	0.011291
71_1AK4.A	1.0	0.85	0.174	1	0.425405	0.52801
72_1AK4.A	0.422	0.93	0.12153	1	0.258142	0.385192
73_1AK4.A	0.0	0.91	0.17276	1	0.442538	0.286026
102_1AK4.A	0.056	0.68	0.18101	1	0.126936	0.157943
111_1AK4.A	0.0	0.0	0.06436	1	0.032609	0.009818
121_1AK4.A	0.965	0.97	1.0	1	0.708364	0.951483
98_1AT3.A	0.0	0.96	0.39751	1	0.467943	0.326401
100_1AT3.A	0.036	0.86	0.53507	1	0.361297	0.481887
119_1AT3.A	0.089	0.07	0.53909	1	0.09051	0.087576
207_1AT3.A	0.0	0.94	0.10056	1	0.298897	0.060333
210_1AT3.A	0.0	0.97	0.12603	1	0.315224	0.076718
211_1AT3.A	0.092	0.96	0.20955	1	0.418074	0.134893
215_1AT3.A	0.079	0.98	0.20607	1	0.377028	0.137427
217_1AT3.A	0.06	0.98	0.5394	1	0.280374	0.584828
219_1AT3.A	0.327	0.97	0.44721	1	0.528489	0.504052
221_1AT3.A	1.0	0.98	1.0	1	0.698132	0.988845
222_1AT3.A	0.534	0.98	0.88706	1	0.778857	0.96059
223_1AT3.A	0.327	0.97	0.6148	1	0.577409	0.754574
224_1AT3.A	0.327	0.97	0.75476	1	0.623872	0.885706
225_1AT3.A	0.128	0.93	0.55101	1	0.318024	0.586502
227_1AT3.A	0.128	0.82	0.68633	1	0.207345	0.713974
39_1ATN.A	0.221	0.11	0.15697	1	0.109034	0.063036
40_1ATN.A	0.215	0.02	0.19391	1	0.182253	0.065345
41_1ATN.A	0.128	0.03	0.20941	1	0.058121	0.050832
42_1ATN.A	0.215	0.04	0.19504	1	0.173136	0.065102
43_1ATN.A	0.616	0.04	0.30317	1	0.225925	0.217927
44_1ATN.A	0.365	0.15	0.3483	1	0.198931	0.11235
45_1ATN.A	0.64	0.08	0.41713	1	0.252209	0.249118
46_1ATN.A	0.212	0.04	0.41096	1	0.148563	0.077984
60_1ATN.A	0.0	0.02	0.128	1	0.047968	0.031938
61_1ATN.A	0.0	0.06	0.19189	1	0.060386	0.033529
62_1ATN.A	0.0	0.04	0.10263	1	0.040421	0.031053
63_1ATN.A	0.0	0.1	0.1453	1	0.064381	0.031819
64_1ATN.A	0.215	0.04	0.18403	1	0.113095	0.064471
202_1ATN.A	0.304	0.64	0.11509	1	0.245875	0.068718
203_1ATN.A	0.304	0.34	0.11183	1	0.159118	0.07352
207_1ATN.A	0.0	0.24	0.04851	1	0.043336	0.028135
128_1AVA.A	1.0	0.97	0.36593	1	0.643564	0.581592
138_1AVA.A	0.0	0.44	0.03271	1	0.076717	0.028933
140_1AVA.A	0.0	0.86	0.04968	1	0.147359	0.196195
141_1AVA.A	0.0	0.82	0.17187	1	0.340445	0.218428
142_1AVA.A	0.285	0.86	0.50014	1	0.645641	0.477264
143_1AVA.A	0.285	0.96	0.71269	1	0.632871	0.726138
144_1AVA.A	0.605	0.96	0.79185	1	0.546655	0.785768
145_1AVA.A	0.111	0.98	0.7568	1	0.421593	0.756382
182_1AVA.A	0.0	0.71	0.52103	1	0.283918	0.295901
208_1AVA.A	0.0	0.96	0.71433	1	0.519843	0.70718
210_1AVA.A	0.0	0.91	0.13132	1	0.280098	0.280096
211_1AVA.A	1.0	0.96	0.732	1	0.737397	0.781242
213_1AVA.A	0.184	0.96	0.33824	1	0.487344	0.481292
215_1AVA.A	0.164	0.97	0.54377	1	0.579347	0.628208
223_1AVA.A	0.001	0.21	0.10761	1	0.247153	0.011699
295_1AVA.A	0.0	0.93	0.68726	1	0.338029	0.659572
296_1AVA.A	0.0	0.96	1.0	1	0.501723	0.839742
40_1AVW.A	0.663	0.13	0.37053	1	0.229668	0.503699
41_1AVW.A	0.616	0.7	0.65745	1	0.3361	0.822899
57_1AVW.A	0.293	0.1	0.83467	1	0.32429	0.699288
60_1AVW.A	0.416	0.14	0.78481	1	0.213393	0.745407
94_1AVW.A	0.0	0.74	0.72376	1	0.297524	0.41911
96_1AVW.A	0.304	0.45	0.79394	1	0.353402	0.712492
97_1AVW.A	0.0	0.17	1.0	1	0.214999	0.64882
99_1AVW.A	0.282	0.99	0.61104	1	0.60011	0.575948
189_1AVW.A	0.0	0.0	0.01559	1	0.012239	0.016525
190_1AVW.A	0.0	0.0	0.03815	1	0.025839	0.018327
191_1AVW.A	0.28	0.0	0.21441	1	0.308567	0.103444
192_1AVW.A	0.468	0.75	0.85155	1	0.553845	0.874921
193_1AVW.A	0.132	0.14	0.4154	1	0.109429	0.159343
195_1AVW.A	0.468	0.0	0.33462	1	0.25562	0.28335
214_1AVW.A	0.616	0.0	0.27883	1	0.229737	0.340603
215_1AVW.A	0.468	0.82	0.54887	1	0.305139	0.639911
216_1AVW.A	0.468	0.99	0.55791	1	0.731938	0.672912
219_1AVW.A	0.616	0.8	0.58116	1	0.320522	0.775779
226_1AVW.A	0.0	0.0	0.00818	1	0.009636	0.015972
40_1AVX.A	0.628	0.16	0.40484	1	0.256852	0.705685
41_1AVX.A	0.32	0.77	0.71589	1	0.601097	0.473439
57_1AVX.A	0.757	0.54	0.98474	1	0.648606	0.943996
60_1AVX.A	1.0	0.26	0.89001	1	0.641575	0.982445
99_1AVX.A	0.442	0.96	0.69722	1	0.500848	0.734057
151_1AVX.A	1.0	0.87	0.68571	1	0.577725	0.991588
189_1AVX.A	0.0	0.0	0.02183	1	0.016494	0.016795
190_1AVX.A	0.0	0.0	0.03308	1	0.025838	0.016949
191_1AVX.A	0.479	0.0	0.28564	1	0.273405	0.376405
192_1AVX.A	0.706	0.71	0.8912	1	0.646982	0.933746
193_1AVX.A	0.535	0.11	0.45907	1	0.301751	0.54851
195_1AVX.A	0.801	0.0	0.37696	1	0.21563	0.860626
214_1AVX.A	0.0	0.0	0.31335	1	0.097115	0.021275
215_1AVX.A	0.535	0.42	0.59976	1	0.291604	0.684698
216_1AVX.A	0.706	0.97	0.59294	1	0.547001	0.942059
217_1AVX.A	0.704	0.72	0.82222	1	0.330909	0.930195
219_1AVX.A	0.704	0.83	0.58723	1	0.484257	0.928255
220_1AVX.A	0.0	0.0	0.25946	1	0.097584	0.020367
226_1AVX.A	0.0	0.0	0.00929	1	0.009942	0.016624
71_1AVZ.B	0.172	0.2	0.49852	1	0.225239	0.125825
72_1AVZ.B	0.117	0.21	0.48388	1	0.312986	0.128937
73_1AVZ.B	0.172	0.69	0.57497	1	0.310136	0.734291
74_1AVZ.B	0.178	0.62	0.47835	1	0.287825	0.641792
75_1AVZ.B	0.178	0.47	0.51555	1	0.260751	0.422825
77_1AVZ.B	0.121	0.44	0.55949	1	0.149123	0.374128
82_1AVZ.B	0.121	0.03	0.78935	1	0.093923	0.050332
86_1AVZ.B	0.0	0.02	0.56726	1	0.144563	0.043107
117_1AVZ.B	0.263	0.66	0.48548	1	0.448304	0.704791
118_1AVZ.B	0.2	0.57	0.45471	1	0.366841	0.572189
120_1AVZ.B	0.112	0.0	0.42959	1	0.067902	0.039807
40_1AY7.A	0.375	0.16	0.57448	1	0.292725	0.033675
41_1AY7.A	0.335	0.66	0.13871	1	0.204507	0.544364
64_1AY7.A	0.285	0.13	0.32094	1	0.197756	0.065098
65_1AY7.A	0.496	0.0	0.31113	1	0.289473	0.134737
66_1AY7.A	0.377	0.99	0.08134	1	0.286897	0.848681
67_1AY7.A	0.171	0.97	0.07008	1	0.422864	0.642668
69_1AY7.A	0.0	0.0	0.09599	1	0.045648	0.029337
85_1AY7.A	0.103	0.98	0.19306	1	0.358605	0.406973
86_1AY7.A	0.08	0.97	0.19104	1	0.430552	0.371971
29_1AY7.B	0.377	0.61	0.98731	1	0.655117	0.335356
31_1AY7.B	0.287	0.05	0.20992	1	0.168383	0.180372
33_1AY7.B	0.061	0.03	0.133	1	0.029147	0.083428
34_1AY7.B	0.285	0.02	0.04092	1	0.081294	0.093742
35_1AY7.B	0.217	0.03	0.22114	1	0.17083	0.182955
36_1AY7.B	0.171	0.0	0.18534	1	0.156234	0.165972
38_1AY7.B	0.278	0.01	0.24056	1	0.154009	0.250849
39_1AY7.B	0.465	0.03	0.68986	1	0.24262	0.856521
76_1AY7.B	0.0	0.01	0.11476	1	0.030625	0.074327
3_1B34.A	0.644	0.87	0.86283	1	0.561496	0.999555
7_1B34.A	0.485	0.0	0.43548	1	0.23565	0.866019
18_1B34.A	0.377	0.0	0.24354	1	0.20525	0.136045
20_1B34.A	0.173	0.85	0.34178	1	0.423214	0.553261
24_1B34.A	0.18	0.47	0.15421	1	0.241374	0.03104
36_1B34.A	0.122	0.96	0.50172	1	0.41944	0.992158
62_1B34.A	0.0	0.0	0.17387	1	0.06648	0.825136
65_1B34.A	0.285	0.0	0.32502	1	0.205749	0.841058
66_1B34.A	0.285	0.82	0.91236	1	0.626968	0.999999
67_1B34.A	0.18	0.96	1.0	1	0.754396	1.0
68_1B34.A	0.258	0.76	0.80779	1	0.710872	0.999994
69_1B34.A	0.029	0.97	0.60056	1	0.391444	0.99985
70_1B34.A	0.285	0.96	0.76634	1	0.629814	0.999942
72_1B34.A	0.173	0.94	0.43013	1	0.493991	0.90497
74_1B34.A	0.0	0.0	0.18282	1	0.082656	0.857606
76_1B34.A	0.255	0.98	0.70507	1	0.527376	0.999782
77_1B34.A	0.16	0.95	0.38191	1	0.574775	0.746652
3_1B3A.A	0.127	0.2	0.92264	1	0.119874	0.514094
4_1B3A.A	0.241	0.48	0.578	1	0.234624	0.764822
5_1B3A.A	0.077	0.6	0.19316	1	0.15593	0.553824
6_1B3A.A	0.0	0.7	0.36998	1	0.336195	0.773281
7_1B3A.A	0.0	0.64	0.33314	1	0.250344	0.668505
8_1B3A.A	0.0	0.87	0.52753	1	0.377451	0.947329
10_1B3A.A	0.356	0.87	0.30154	1	0.394239	0.963415
12_1B3A.A	0.272	0.11	0.4167	1	0.206785	0.148239
13_1B3A.A	0.578	0.05	0.28855	1	0.253357	0.166606
14_1B3A.A	0.578	0.02	0.22612	1	0.212853	0.117488
33_1B3A.A	0.163	0.03	0.81336	1	0.165274	0.208285
50_1B3A.A	0.578	0.38	0.18845	1	0.256235	0.572278
1_1B5E.A	0.0	0.83	0.02473	1	0.104572	0.302104
3_1B5E.A	0.0	0.97	0.03224	1	0.26673	0.416476
4_1B5E.A	0.0	0.96	0.02907	1	0.258946	0.406265
6_1B5E.A	0.0	0.82	0.02731	1	0.107731	0.296217
14_1B5E.A	0.0	0.98	0.02854	1	0.293832	0.422646
23_1B5E.A	0.0	0.94	0.0575	1	0.218689	0.406473
26_1B5E.A	0.668	0.42	0.21592	1	0.263424	0.155619
27_1B5E.A	0.621	0.31	0.16399	1	0.310931	0.099474
35_1B5E.A	0.0	0.97	0.13586	1	0.295359	0.47918
36_1B5E.A	0.0	0.9	0.01665	1	0.160216	0.350628
37_1B5E.A	0.0	0.98	0.16903	1	0.403838	0.508089
38_1B5E.A	0.0	0.95	0.08364	1	0.264557	0.430429
105_1B5E.A	0.416	0.0	0.13498	1	0.222356	0.033321
108_1B5E.A	0.803	0.0	0.17636	1	0.183563	0.038596
111_1B5E.A	0.416	0.99	0.2042	1	0.404972	0.551765
123_1B5E.A	0.0	0.96	0.0766	1	0.250316	0.434638
124_1B5E.A	0.0	0.98	0.20748	1	0.491395	0.531604
126_1B5E.A	0.0	0.95	0.13609	1	0.273622	0.46218
128_1B5E.A	0.0	0.99	0.23444	1	0.509985	0.556521
130_1B5E.A	0.0	0.91	0.1702	1	0.358875	0.448783
131_1B5E.A	0.0	0.96	0.35301	1	0.440726	0.602146
132_1B5E.A	0.0	0.89	0.63955	1	0.457626	0.705948
135_1B5E.A	0.0	0.76	0.8853	1	0.193957	0.737068
136_1B5E.A	0.0	0.99	1.0	1	0.741543	0.891207
144_1B5E.A	0.0	0.99	0.17642	1	0.563914	0.521205
150_1B5E.A	0.0	0.65	0.13217	1	0.10819	0.232678
151_1B5E.A	0.0	0.93	0.07895	1	0.256307	0.410862
153_1B5E.A	0.0	0.97	0.04601	1	0.259415	0.424699
157_1B5E.A	0.0	0.77	0.01043	1	0.128712	0.253741
166_1B5E.A	0.0	0.92	0.09249	1	0.220556	0.410567
168_1B5E.A	0.0	0.93	0.30166	1	0.500857	0.54621
169_1B5E.A	0.0	0.91	0.05773	1	0.235139	0.381967
213_1B5E.A	0.0	0.95	0.12701	1	0.277163	0.456654
214_1B5E.A	0.0	0.0	0.10778	1	0.056633	0.029621
216_1B5E.A	0.0	0.0	0.02514	1	0.015874	0.024323
218_1B5E.A	0.0	0.0	0.01723	1	0.016471	0.023867
26_1B6C.A	0.0	0.0	0.19185	1	0.088869	0.028817
36_1B6C.A	0.129	0.16	0.19389	1	0.063161	0.096289
37_1B6C.A	0.275	0.3	0.24998	1	0.267395	0.293643
42_1B6C.A	0.275	0.65	0.24837	1	0.368077	0.461618
46_1B6C.A	0.0	0.51	0.29215	1	0.208423	0.078446
53_1B6C.A	0.975	0.66	0.42418	1	0.305337	0.993351
54_1B6C.A	0.455	0.28	0.40025	1	0.169789	0.599063
55_1B6C.A	0.455	0.22	0.29283	1	0.205099	0.56917
59_1B6C.A	0.293	0.0	0.06848	1	0.082458	0.203534
82_1B6C.A	0.75	0.23	0.43021	1	0.224976	0.921624
85_1B6C.A	1.0	0.93	0.40127	1	0.599315	0.996824
87_1B6C.A	0.406	0.93	0.51201	1	0.492247	0.799796
88_1B6C.A	0.46	0.96	0.40212	1	0.511033	0.863506
90_1B6C.A	0.455	0.99	0.31336	1	0.687742	0.866559
91_1B6C.A	0.0	0.0	0.18591	1	0.105804	0.028818
19_1B7B.A	0.0	0.09	0.11497	1	0.046095	0.029242
57_1B7B.A	0.0	0.86	0.07685	1	0.178532	0.283261
58_1B7B.A	0.0	0.86	0.34024	1	0.383971	0.370798
61_1B7B.A	0.0	0.95	0.46857	1	0.425619	0.493377
62_1B7B.A	0.0	0.0	0.43306	1	0.096877	0.034637
70_1B7B.A	0.0	0.85	0.46929	1	0.401239	0.409214
71_1B7B.A	0.0	0.97	0.25738	1	0.532301	0.430823
76_1B7B.A	0.0	0.75	0.08699	1	0.178665	0.216029
77_1B7B.A	0.376	0.7	0.29459	1	0.28549	0.386894
80_1B7B.A	0.597	0.89	0.35961	1	0.554994	0.665979
84_1B7B.A	0.621	0.97	0.76334	1	0.652887	0.834745
88_1B7B.A	1.0	0.98	1.0	1	0.713515	0.937194
89_1B7B.A	0.82	0.0	0.57824	1	0.400352	0.165973
92_1B7B.A	0.668	0.91	0.51341	1	0.502187	0.754172
95_1B7B.A	0.376	0.74	0.24805	1	0.287816	0.402693
99_1B7B.A	0.0	0.14	0.12429	1	0.057136	0.034978
106_1B7B.A	0.0	0.17	0.18232	1	0.080839	0.042012
109_1B7B.A	0.621	0.95	0.36481	1	0.609713	0.720456
110_1B7B.A	0.554	0.97	0.18285	1	0.42134	0.649555
111_1B7B.A	0.554	0.99	0.49538	1	0.69528	0.761248
113_1B7B.A	0.0	0.9	0.14815	1	0.342456	0.33549
170_1B7B.A	0.0	0.93	0.04995	1	0.196527	0.325221
173_1B7B.A	0.0	0.5	0.02305	1	0.057963	0.096173
174_1B7B.A	0.0	0.99	0.07461	1	0.614937	0.38051
177_1B7B.A	0.0	0.93	0.02897	1	0.206837	0.318276
198_1B7B.A	0.0	0.69	0.02977	1	0.069969	0.170676
200_1B7B.A	0.0	0.48	0.05793	1	0.073151	0.094838
202_1B7B.A	0.0	0.13	0.073	1	0.046766	0.031388
1_1B8A.A	0.45	0.87	0.655	1	0.435631	0.937055
2_1B8A.A	0.616	0.93	0.52587	1	0.483722	0.944369
3_1B8A.A	0.572	0.96	0.41007	1	0.63984	0.899932
6_1B8A.A	0.855	0.63	0.45014	1	0.326261	0.940535
24_1B8A.A	0.466	0.99	0.59007	1	0.725947	0.936915
42_1B8A.A	0.402	0.86	0.49783	1	0.648112	0.855735
69_1B8A.A	0.0	0.0	0.0429	1	0.028103	0.029395
71_1B8A.A	0.262	0.98	0.35072	1	0.534373	0.695972
99_1B8A.A	0.0	0.85	0.51239	1	0.392775	0.588203
102_1B8A.A	0.0	0.85	0.18014	1	0.395762	0.235892
104_1B8A.A	0.0	0.96	0.02051	1	0.269291	0.155415
106_1B8A.A	0.0	0.99	0.06942	1	0.561226	0.196608
123_1B8A.A	0.0	0.98	0.1721	1	0.54963	0.278064
125_1B8A.A	0.282	0.97	0.75746	1	0.640655	0.940298
129_1B8A.A	0.119	0.75	0.38304	1	0.173297	0.499227
134_1B8A.A	0.0	0.96	0.28065	1	0.466327	0.379106
140_1B8A.A	0.0	0.0	0.30652	1	0.097155	0.092655
141_1B8A.A	0.0	0.65	0.35196	1	0.246901	0.314201
144_1B8A.A	0.0	0.0	0.27623	1	0.095496	0.081563
145_1B8A.A	0.0	0.87	0.11986	1	0.356154	0.19568
148_1B8A.A	0.0	0.89	0.33797	1	0.402409	0.408986
155_1B8A.A	0.0	0.28	0.01529	1	0.024107	0.044446
158_1B8A.A	0.0	0.77	0.25464	1	0.269288	0.270753
160_1B8A.A	0.0	0.56	0.57623	1	0.241046	0.51865
162_1B8A.A	0.0	0.86	0.46761	1	0.371732	0.542385
163_1B8A.A	0.0	0.89	0.49703	1	0.392641	0.5903
164_1B8A.A	0.262	0.98	0.87522	1	0.661597	0.962545
166_1B8A.A	0.282	0.98	0.19486	1	0.405218	0.545565
177_1B8A.A	0.199	0.95	0.13616	1	0.393298	0.389074
178_1B8A.A	0.282	0.97	0.59348	1	0.513652	0.880879
180_1B8A.A	1.0	0.98	1.0	1	0.718575	0.998532
181_1B8A.A	1.0	0.96	0.99391	1	0.699787	0.998429
182_1B8A.A	0.929	0.95	0.40406	1	0.601986	0.969387
194_1B8A.A	0.0	0.94	0.33014	1	0.388672	0.424358
197_1B8A.A	0.262	0.95	0.20529	1	0.405215	0.524495
200_1B8A.A	0.387	0.66	0.10065	1	0.165055	0.376781
201_1B8A.A	0.262	0.96	0.16478	1	0.402864	0.482795
202_1B8A.A	0.0	0.99	0.07667	1	0.582805	0.201941
203_1B8A.A	0.0	0.89	0.10558	1	0.242729	0.191605
204_1B8A.A	0.0	0.84	0.04435	1	0.154705	0.139281
225_1B8A.A	0.0	0.0	0.05587	1	0.030543	0.03115
226_1B8A.A	0.0	0.87	0.62297	1	0.37382	0.712206
235_1B8A.A	0.0	0.0	0.00964	1	0.013597	0.025322
236_1B8A.A	0.0	0.91	0.06159	1	0.254401	0.167605
238_1B8A.A	0.0	0.57	0.02768	1	0.067182	0.080569
242_1B8A.A	0.0	0.21	0.01167	1	0.024698	0.03828
394_1B8A.A	0.262	0.98	0.22507	1	0.388764	0.561898
397_1B8A.A	0.416	0.96	0.07529	1	0.41061	0.520508
398_1B8A.A	0.433	0.98	0.16688	1	0.390196	0.647099
399_1B8A.A	0.282	0.97	0.07601	1	0.363607	0.404904
400_1B8A.A	0.262	0.0	0.04167	1	0.108548	0.072828
431_1B8A.A	0.262	0.95	0.58014	1	0.564938	0.861326
432_1B8A.A	0.199	0.0	0.0187	1	0.06493	0.053127
433_1B8A.A	0.282	0.95	0.03674	1	0.271837	0.353001
436_1B8A.A	0.262	0.98	0.38036	1	0.533846	0.724092
438_1B8A.A	0.0	0.95	0.74913	1	0.380404	0.838453
10_1B8J.A	0.135	0.43	0.07072	1	0.066841	0.236155
16_1B8J.A	0.186	0.94	0.05912	1	0.316019	0.51438
19_1B8J.A	0.173	0.93	0.05656	1	0.293906	0.490994
20_1B8J.A	0.194	0.92	0.06021	1	0.231791	0.514175
22_1B8J.A	0.173	0.7	0.07006	1	0.140474	0.391662
23_1B8J.A	0.186	0.95	0.08561	1	0.318684	0.560105
24_1B8J.A	0.186	0.75	0.08583	1	0.120725	0.454922
25_1B8J.A	0.217	0.94	0.0905	1	0.328922	0.595204
28_1B8J.A	0.194	0.96	0.07035	1	0.341666	0.550776
29_1B8J.A	0.255	0.52	0.07262	1	0.196616	0.389666
34_1B8J.A	0.0	0.47	0.05875	1	0.07463	0.147938
37_1B8J.A	0.0	0.87	0.0651	1	0.211769	0.296433
55_1B8J.A	0.0	0.8	0.11356	1	0.262088	0.328559
56_1B8J.A	0.0	0.6	0.07087	1	0.086449	0.197671
59_1B8J.A	0.0	0.49	0.07028	1	0.077663	0.162792
62_1B8J.A	0.0	0.0	0.04233	1	0.024434	0.054805
63_1B8J.A	0.0	0.22	0.03656	1	0.037584	0.081888
68_1B8J.A	0.0	0.02	0.04379	1	0.021274	0.057527
79_1B8J.A	0.0	0.0	0.03737	1	0.022013	0.053247
81_1B8J.A	0.0	0.99	0.10706	1	0.474304	0.412868
82_1B8J.A	0.0	0.0	0.07765	1	0.047669	0.067204
83_1B8J.A	0.186	0.72	0.25493	1	0.231835	0.688965
85_1B8J.A	0.285	0.88	0.63385	1	0.444745	0.980067
95_1B8J.A	0.287	0.34	0.70501	1	0.288602	0.960734
98_1B8J.A	1.0	0.93	1.0	1	0.713851	0.999915
99_1B8J.A	0.612	0.59	0.26427	1	0.203769	0.919324
112_1B8J.A	0.0	0.0	0.30346	1	0.100459	0.224062
114_1B8J.A	0.173	0.0	0.36819	1	0.184841	0.477394
129_1B8J.A	0.0	0.22	0.22165	1	0.141551	0.217719
275_1B8J.A	0.406	0.87	0.17895	1	0.51772	0.832634
276_1B8J.A	0.563	0.0	0.13837	1	0.246237	0.548754
373_1B8J.A	0.0	0.0	0.04211	1	0.024434	0.054735
375_1B8J.A	0.0	0.84	0.23325	1	0.31065	0.526452
376_1B8J.A	0.0	0.99	0.09181	1	0.638111	0.390341
377_1B8J.A	0.0	0.55	0.09356	1	0.093148	0.203048
381_1B8J.A	0.131	0.84	0.0562	1	0.075799	0.398456
382_1B8J.A	0.194	0.39	0.13677	1	0.115493	0.355374
383_1B8J.A	0.173	0.0	0.10984	1	0.096756	0.157247
384_1B8J.A	0.173	0.28	0.22055	1	0.142512	0.400122
392_1B8J.A	0.0	0.0	0.03656	1	0.022013	0.052996
394_1B8J.A	0.0	0.01	0.03678	1	0.012634	0.054139
395_1B8J.A	0.0	0.03	0.03693	1	0.016009	0.056399
403_1B8J.A	0.186	0.51	0.1472	1	0.276444	0.422631
404_1B8J.A	0.173	0.24	0.19625	1	0.195736	0.345449
405_1B8J.A	0.0	0.18	0.09291	1	0.05202	0.10384
406_1B8J.A	0.135	0.2	0.22734	1	0.238037	0.332199
411_1B8J.A	0.173	0.13	0.12743	1	0.097093	0.214961
413_1B8J.A	0.307	0.41	0.22997	1	0.245048	0.625317
414_1B8J.A	0.427	0.64	0.49051	1	0.313808	0.957876
415_1B8J.A	0.377	0.81	0.4549	1	0.324919	0.954676
416_1B8J.A	0.307	0.98	0.61451	1	0.580241	0.98344
418_1B8J.A	0.173	0.0	0.03569	1	0.061251	0.105766
425_1B8J.A	0.0	0.32	0.03926	1	0.035295	0.100788
428_1B8J.A	0.0	0.33	0.14728	1	0.059009	0.18195
430_1B8J.A	0.0	0.99	0.18391	1	0.594629	0.530055
431_1B8J.A	0.0	0.73	0.25113	1	0.237053	0.495694
432_1B8J.A	0.0	0.97	0.73792	1	0.488563	0.970232
434_1B8J.A	0.173	0.0	0.48818	1	0.197141	0.656386
437_1B8J.A	0.0	0.35	0.43935	1	0.189657	0.582943
440_1B8J.A	0.0	0.25	0.44986	1	0.183063	0.546766
1_1B9M.A	0.348	0.92	0.12216	1	0.217456	0.469329
4_1B9M.A	0.757	0.75	0.30366	1	0.267291	0.466763
5_1B9M.A	0.576	0.74	0.25305	1	0.305011	0.410863
6_1B9M.A	0.344	0.96	0.32787	1	0.5345	0.653235
7_1B9M.A	0.0	0.98	0.26166	1	0.530508	0.60732
8_1B9M.A	0.0	0.37	0.30774	1	0.203689	0.152571
10_1B9M.A	0.0	0.71	0.39674	1	0.306555	0.455763
11_1B9M.A	0.0	0.7	0.34241	1	0.331226	0.407277
12_1B9M.A	0.0	0.86	0.27504	1	0.309459	0.506429
13_1B9M.A	0.0	0.56	0.26911	1	0.221498	0.246689
58_1B9M.A	0.0	0.0	0.11414	1	0.046213	0.024774
61_1B9M.A	0.0	0.7	0.33647	1	0.330448	0.403052
80_1B9M.A	0.0	0.86	0.39279	1	0.38368	0.592236
81_1B9M.A	0.0	0.59	0.32182	1	0.229815	0.299781
84_1B9M.A	0.0	0.94	0.53264	1	0.380285	0.747593
87_1B9M.A	0.0	0.92	0.21943	1	0.492902	0.521616
88_1B9M.A	0.0	0.98	0.42804	1	0.465462	0.716481
91_1B9M.A	0.0	0.98	0.24468	1	0.518123	0.595307
