Threshold,Global_Dbmark_Precision,Global_Dbmark_Recall,Global_NOX_Precision,Global_NOX_Recall,Global_Total_Precision,Global_Total_Recall
0.8,0.341335,0.306397,0.39398,0.51,0.380185,0.441049
0.81,0.349304,0.304377,0.394473,0.502069,0.382748,0.43512
0.82,0.355823,0.298316,0.399116,0.497931,0.388032,0.430331
0.83,0.359167,0.290236,0.402146,0.491034,0.391268,0.423033
0.84,0.359725,0.281481,0.406946,0.484828,0.395062,0.415964
0.85,0.364279,0.277441,0.412466,0.476897,0.400312,0.40935
0.86,0.367065,0.268687,0.415744,0.466207,0.403549,0.399316
0.87,0.369524,0.261279,0.420901,0.454138,0.407992,0.388826
0.88,0.372646,0.253199,0.422988,0.440345,0.410377,0.376967
0.89,0.373024,0.238384,0.430052,0.42931,0.415973,0.364652
0.9,0.382483,0.232323,0.436844,0.416207,0.423465,0.353934
0.91,0.391559,0.224916,0.442073,0.4,0.429681,0.340707
0.92,0.39599,0.212795,0.447592,0.381379,0.434995,0.324287
0.93,0.404858,0.20202,0.449742,0.361034,0.438905,0.307184
0.94,0.41037,0.186532,0.455098,0.335517,0.444365,0.285063
0.95,0.42,0.169697,0.464361,0.305517,0.453748,0.259521
0.96,0.439364,0.148822,0.47157,0.263103,0.463932,0.224401
0.97,0.466334,0.125926,0.469076,0.201379,0.468408,0.175827
0.98,0.470588,0.086195,0.496807,0.134138,0.490047,0.117902
0.99,0.513514,0.038384,0.530973,0.041379,0.525223,0.040365
