,predus_FPR,predus_TPR,ispred_TPR,ispred_FPR,dockpred_TPR,dockpred_FPR
0.44,0.004744958481613286,0.24528301886792453,0.6981132075471698,0.07947805456702253,0.5660377358490566,0.03914590747330961
0.45,0.004744958481613286,0.24528301886792453,0.6981132075471698,0.07947805456702253,0.5471698113207547,0.036773428232502965
0.46,0.004744958481613286,0.22641509433962265,0.6981132075471698,0.07947805456702253,0.5283018867924528,0.03440094899169632
0.47,0.004744958481613286,0.22641509433962265,0.6792452830188679,0.07354685646500593,0.5094339622641509,0.03440094899169632
0.48,0.004744958481613286,0.22641509433962265,0.6792452830188679,0.06998813760379596,0.49056603773584906,0.033214709371293
0.49,0.004744958481613286,0.22641509433962265,0.6792452830188679,0.06761565836298933,0.49056603773584906,0.03202846975088968
0.5,0.004744958481613286,0.20754716981132076,0.660377358490566,0.066429418742586,0.4716981132075472,0.02965599051008304
0.51,0.004744958481613286,0.20754716981132076,0.6415094339622641,0.06524317912218268,0.4528301886792453,0.02965599051008304
0.52,0.004744958481613286,0.20754716981132076,0.6415094339622641,0.06524317912218268,0.4528301886792453,0.027283511269276393
0.53,0.004744958481613286,0.20754716981132076,0.6415094339622641,0.060498220640569395,0.4528301886792453,0.02609727164887307
0.54,0.004744958481613286,0.20754716981132076,0.6415094339622641,0.05693950177935943,0.4528301886792453,0.02372479240806643
0.55,0.004744958481613286,0.20754716981132076,0.6226415094339622,0.05693950177935943,0.4528301886792453,0.021352313167259787
0.56,0.004744958481613286,0.20754716981132076,0.6226415094339622,0.05575326215895611,0.4339622641509434,0.021352313167259787
0.57,0.0035587188612099642,0.16981132075471697,0.6037735849056604,0.05219454329774614,0.4339622641509434,0.018979833926453145
0.58,0.002372479240806643,0.16981132075471697,0.6037735849056604,0.05219454329774614,0.39622641509433965,0.018979833926453145
0.59,0.002372479240806643,0.16981132075471697,0.6037735849056604,0.051008303677342826,0.37735849056603776,0.018979833926453145
0.6,0.002372479240806643,0.16981132075471697,0.6037735849056604,0.04744958481613286,0.3584905660377358,0.018979833926453145
0.61,0.002372479240806643,0.16981132075471697,0.6037735849056604,0.046263345195729534,0.3584905660377358,0.017793594306049824
0.62,0.002372479240806643,0.16981132075471697,0.5849056603773585,0.045077105575326216,0.3584905660377358,0.014234875444839857
0.63,0.0011862396204033216,0.1509433962264151,0.5849056603773585,0.04389086595492289,0.33962264150943394,0.013048635824436536
0.64,0.0011862396204033216,0.1509433962264151,0.5849056603773585,0.04151838671411625,0.33962264150943394,0.011862396204033215
0.65,0.0011862396204033216,0.1320754716981132,0.5283018867924528,0.04151838671411625,0.33962264150943394,0.009489916963226572
0.66,0.0011862396204033216,0.1320754716981132,0.5283018867924528,0.03914590747330961,0.32075471698113206,0.0071174377224199285
0.67,0.0011862396204033216,0.1320754716981132,0.5283018867924528,0.03914590747330961,0.32075471698113206,0.0071174377224199285
0.68,0.0011862396204033216,0.1320754716981132,0.5094339622641509,0.036773428232502965,0.3018867924528302,0.0071174377224199285
0.69,0.0011862396204033216,0.1320754716981132,0.49056603773584906,0.03558718861209965,0.2830188679245283,0.0071174377224199285
0.7,0.0011862396204033216,0.1320754716981132,0.49056603773584906,0.03202846975088968,0.2641509433962264,0.005931198102016607
0.71,0.0011862396204033216,0.11320754716981132,0.49056603773584906,0.03202846975088968,0.2641509433962264,0.005931198102016607
0.72,0.0011862396204033216,0.11320754716981132,0.49056603773584906,0.03084223013048636,0.24528301886792453,0.005931198102016607
0.73,0.0011862396204033216,0.11320754716981132,0.49056603773584906,0.03084223013048636,0.24528301886792453,0.005931198102016607
0.74,0.0011862396204033216,0.11320754716981132,0.49056603773584906,0.03084223013048636,0.24528301886792453,0.005931198102016607
0.75,0.0011862396204033216,0.11320754716981132,0.49056603773584906,0.03084223013048636,0.24528301886792453,0.004744958481613286
0.76,0.0011862396204033216,0.11320754716981132,0.49056603773584906,0.02965599051008304,0.24528301886792453,0.004744958481613286
0.77,0.0011862396204033216,0.11320754716981132,0.49056603773584906,0.02965599051008304,0.22641509433962265,0.004744958481613286
0.78,0.0011862396204033216,0.11320754716981132,0.4716981132075472,0.028469750889679714,0.16981132075471697,0.004744958481613286
0.79,0.0011862396204033216,0.11320754716981132,0.4528301886792453,0.027283511269276393,0.16981132075471697,0.004744958481613286
0.8,0.0011862396204033216,0.11320754716981132,0.4528301886792453,0.02609727164887307,0.16981132075471697,0.0035587188612099642
0.81,0.0011862396204033216,0.11320754716981132,0.4528301886792453,0.02491103202846975,0.1509433962264151,0.0035587188612099642
0.82,0.0011862396204033216,0.11320754716981132,0.4528301886792453,0.02372479240806643,0.1509433962264151,0.0035587188612099642
0.83,0.0011862396204033216,0.11320754716981132,0.4339622641509434,0.022538552787663108,0.1509433962264151,0.0035587188612099642
0.84,0.0011862396204033216,0.11320754716981132,0.4339622641509434,0.022538552787663108,0.1509433962264151,0.0035587188612099642
0.85,0.0011862396204033216,0.11320754716981132,0.41509433962264153,0.022538552787663108,0.1509433962264151,0.0035587188612099642
0.86,0.0011862396204033216,0.11320754716981132,0.39622641509433965,0.020166073546856466,0.11320754716981132,0.0035587188612099642
0.87,0.0011862396204033216,0.11320754716981132,0.39622641509433965,0.018979833926453145,0.11320754716981132,0.0035587188612099642
0.88,0.0011862396204033216,0.11320754716981132,0.37735849056603776,0.018979833926453145,0.09433962264150944,0.0035587188612099642
0.89,0.0011862396204033216,0.11320754716981132,0.3584905660377358,0.017793594306049824,0.09433962264150944,0.002372479240806643
0.9,0.0011862396204033216,0.11320754716981132,0.33962264150943394,0.0166073546856465,0.09433962264150944,0.002372479240806643
0.91,0.0011862396204033216,0.11320754716981132,0.33962264150943394,0.014234875444839857,0.07547169811320754,0.0011862396204033216
0.92,0.0011862396204033216,0.11320754716981132,0.32075471698113206,0.014234875444839857,0.07547169811320754,0.0
0.93,0.0011862396204033216,0.09433962264150944,0.2830188679245283,0.010676156583629894,0.07547169811320754,0.0
0.94,0.0011862396204033216,0.09433962264150944,0.2641509433962264,0.009489916963226572,0.07547169811320754,0.0
0.95,0.0011862396204033216,0.09433962264150944,0.24528301886792453,0.00830367734282325,0.07547169811320754,0.0
0.96,0.0011862396204033216,0.09433962264150944,0.24528301886792453,0.004744958481613286,0.07547169811320754,0.0
0.97,0.0011862396204033216,0.05660377358490566,0.20754716981132076,0.004744958481613286,0.07547169811320754,0.0
0.98,0.0011862396204033216,0.05660377358490566,0.1320754716981132,0.002372479240806643,0.07547169811320754,0.0
0.99,0.0011862396204033216,0.05660377358490566,0.03773584905660377,0.002372479240806643,0.07547169811320754,0.0
1.0,0.0011862396204033216,0.05660377358490566,0.0,0.0,0.07547169811320754,0.0
1.01,0.0,0.0,0.0,0.0,0.0,0.0
