residue,predus,ispred,dockpred,logreg,annotated
65_1DOW.A,0.0,0.97,0.238,0.328,1.0
68_1DOW.A,0.0,0.97,0.212,0.314,1.0
69_1DOW.A,0.0,0.0,0.088,0.025,1.0
79_1DOW.A,0.0,0.99,0.032,0.238,1.0
82_1DOW.A,0.0,0.35,0.041,0.055,1.0
115_1DOW.A,0.0,0.11,0.144,0.038,1.0
116_1DOW.A,0.0,0.74,0.133,0.17,1.0
121_1DOW.A,0.0,0.88,0.333,0.326,1.0
142_1DOW.A,0.191,0.94,0.025,0.265,1.0
143_1DOW.A,0.0,0.9,0.269,0.304,1.0
145_1DOW.A,0.0,0.0,0.151,0.029,1.0
146_1DOW.A,0.0,0.98,0.029,0.232,1.0
193_1DOW.A,0.0,0.84,0.042,0.177,1.0
197_1DOW.A,0.191,0.53,0.096,0.126,1.0
30_1DQJ.A,0.0,0.96,0.303,0.357,1.0
31_1DQJ.A,0.0,0.81,0.381,0.311,1.0
32_1DQJ.A,0.0,0.98,0.576,0.531,1.0
50_1DQJ.A,0.0,0.95,0.773,0.628,1.0
53_1DQJ.A,0.0,0.97,0.374,0.404,1.0
92_1DQJ.A,0.073,0.99,0.608,0.585,1.0
96_1DQJ.A,0.16,0.0,0.637,0.11,1.0
530_1DQJ.A,0.422,0.97,0.158,0.434,1.0
531_1DQJ.A,0.432,0.98,0.265,0.509,1.0
532_1DQJ.A,0.62,0.98,0.332,0.618,1.0
533_1DQJ.A,0.0,0.98,1.0,0.759,1.0
550_1DQJ.A,1.0,0.0,0.762,0.376,1.0
552_1DQJ.A,0.001,0.0,0.638,0.088,1.0
553_1DQJ.A,0.373,0.78,0.992,0.763,1.0
554_1DQJ.A,0.133,0.99,0.667,0.64,1.0
556_1DQJ.A,0.085,0.95,0.617,0.568,1.0
558_1DQJ.A,0.12,0.98,0.847,0.724,1.0
598_1DQJ.A,0.706,0.98,0.916,0.883,1.0
85_1E4K.C,1.0,0.03,0.819,0.428,1.0
86_1E4K.C,0.524,0.02,0.672,0.198,1.0
87_1E4K.C,0.721,0.01,1.0,0.418,1.0
110_1E4K.C,0.695,0.06,0.942,0.406,1.0
116_1E4K.C,0.721,0.04,0.091,0.08,1.0
117_1E4K.C,0.644,0.1,0.131,0.09,1.0
126_1E4K.C,0.605,0.03,0.136,0.073,1.0
131_1E4K.C,0.143,0.02,0.249,0.047,1.0
132_1E4K.C,0.721,0.03,0.201,0.099,1.0
152_1E4K.C,0.421,0.03,0.135,0.056,1.0
155_1E4K.C,0.405,0.0,0.286,0.071,1.0
158_1E4K.C,0.0,0.13,0.913,0.21,1.0
31_1E6J.H,0.019,0.68,0.423,0.266,1.0
33_1E6J.H,0.612,0.0,0.468,0.141,1.0
50_1E6J.H,1.0,0.99,0.964,0.932,1.0
52_1E6J.H,0.255,0.98,0.671,0.678,1.0
105_1E6J.H,0.667,0.97,0.897,0.869,1.0
591_1E6J.H,0.377,0.94,0.77,0.743,1.0
592_1E6J.H,0.366,0.95,1.0,0.836,1.0
18_1EAI.C,0.052,0.64,0.373,0.233,1.0
25_1EAI.C,0.112,0.59,0.517,0.292,1.0
26_1EAI.C,0.166,0.98,0.412,0.496,1.0
27_1EAI.C,0.185,0.86,0.48,0.464,1.0
28_1EAI.C,0.278,0.9,0.585,0.589,1.0
29_1EAI.C,1.0,0.98,0.672,0.868,1.0
31_1EAI.C,0.57,0.92,1.0,0.865,1.0
32_1EAI.C,0.649,0.95,0.952,0.875,1.0
35_1EAI.C,0.032,0.63,0.833,0.466,1.0
42_1EAI.C,0.032,0.23,0.469,0.111,1.0
90_1EFV.A,0.131,0.97,0.063,0.281,1.0
113_1EFV.A,0.0,0.02,0.012,0.022,1.0
114_1EFV.A,0.0,0.08,0.052,0.028,1.0
117_1EFV.A,0.0,0.1,0.139,0.037,1.0
118_1EFV.A,0.0,0.12,0.113,0.036,1.0
121_1EFV.A,0.0,0.66,0.145,0.146,1.0
122_1EFV.A,0.0,0.97,0.094,0.256,1.0
125_1EFV.A,0.0,0.95,0.08,0.24,1.0
126_1EFV.A,0.0,0.82,0.036,0.167,1.0
128_1EFV.A,0.0,0.45,0.058,0.073,1.0
129_1EFV.A,0.0,0.0,0.057,0.023,1.0
130_1EFV.A,0.0,0.16,0.151,0.044,1.0
131_1EFV.A,0.0,0.1,0.177,0.04,1.0
132_1EFV.A,0.0,0.0,0.098,0.026,1.0
133_1EFV.A,0.0,0.36,0.183,0.078,1.0
146_1EFV.A,0.217,0.96,0.313,0.442,1.0
148_1EFV.A,0.171,0.99,0.58,0.604,1.0
149_1EFV.A,0.287,0.9,0.81,0.714,1.0
150_1EFV.A,0.217,0.0,0.301,0.056,1.0
152_1EFV.A,0.13,0.98,0.464,0.513,1.0
153_1EFV.A,0.13,0.97,0.356,0.442,1.0
154_1EFV.A,0.217,0.94,0.237,0.385,1.0
155_1EFV.A,0.217,0.96,0.324,0.449,1.0
156_1EFV.A,0.079,0.95,0.178,0.311,1.0
157_1EFV.A,0.0,0.91,0.158,0.255,1.0
158_1EFV.A,0.0,0.96,0.103,0.255,1.0
160_1EFV.A,0.0,0.18,0.054,0.037,1.0
195_1EFV.A,0.037,0.43,0.019,0.067,1.0
196_1EFV.A,0.131,0.98,0.056,0.283,1.0
197_1EFV.A,0.287,0.98,0.048,0.329,1.0
198_1EFV.A,0.325,0.96,0.05,0.331,1.0
199_1EFV.A,1.0,0.98,0.05,0.594,1.0
200_1EFV.A,0.507,0.97,0.054,0.405,1.0
201_1EFV.A,0.612,0.98,0.059,0.453,1.0
202_1EFV.A,0.659,0.99,0.051,0.472,1.0
203_1EFV.A,0.285,0.98,0.086,0.349,1.0
204_1EFV.A,0.186,0.91,0.041,0.256,1.0
205_1EFV.A,0.255,0.89,0.045,0.268,1.0
241_1EFV.A,0.0,0.78,0.209,0.215,1.0
253_1EFV.A,0.0,0.9,0.103,0.226,1.0
259_1EFV.A,0.0,0.97,0.082,0.251,1.0
260_1EFV.A,0.0,0.8,0.031,0.158,1.0
265_1EFV.A,0.079,0.98,0.409,0.461,1.0
266_1EFV.A,0.037,0.98,0.211,0.332,1.0
268_1EFV.A,0.0,0.93,0.011,0.202,1.0
273_1EFV.A,0.0,0.1,0.199,0.042,1.0
285_1EFV.A,0.173,0.98,0.374,0.476,1.0
291_1EFV.A,0.079,0.86,0.146,0.247,1.0
293_1EFV.A,0.0,0.0,0.046,0.023,1.0
295_1EFV.A,0.014,0.1,0.459,0.077,1.0
308_1EFV.A,0.014,0.98,0.419,0.442,1.0
310_1EFV.A,0.014,0.96,0.222,0.318,1.0
311_1EFV.A,0.014,0.94,0.354,0.378,1.0
312_1EFV.A,0.021,0.97,0.737,0.627,1.0
313_1EFV.A,0.024,0.95,1.0,0.751,1.0
314_1EFV.A,0.024,0.98,0.726,0.628,1.0
315_1EFV.A,0.021,0.91,0.622,0.521,1.0
325_1EFV.A,0.0,0.54,0.245,0.136,1.0
326_1EFV.A,0.0,0.95,0.473,0.449,1.0
46_1EG9.A,0.0,0.03,0.007,0.022,1.0
47_1EG9.A,0.0,0.1,0.01,0.027,1.0
91_1EG9.A,0.0,0.87,0.127,0.223,1.0
92_1EG9.A,0.0,0.49,0.037,0.077,1.0
93_1EG9.A,0.0,0.24,0.061,0.044,1.0
94_1EG9.A,0.0,0.15,0.072,0.035,1.0
95_1EG9.A,0.0,0.1,0.122,0.035,1.0
184_1EG9.A,0.0,0.08,0.013,0.026,1.0
185_1EG9.A,0.0,0.38,0.02,0.056,1.0
186_1EG9.A,0.0,0.37,0.01,0.054,1.0
188_1EG9.A,0.0,0.52,0.02,0.08,1.0
189_1EG9.A,0.0,0.79,0.019,0.151,1.0
190_1EG9.A,0.0,0.9,0.02,0.193,1.0
211_1EG9.A,0.621,0.97,0.992,0.886,1.0
214_1EG9.A,0.421,0.0,0.122,0.05,1.0
215_1EG9.A,0.0,0.96,0.126,0.266,1.0
216_1EG9.A,0.0,0.0,0.03,0.022,1.0
218_1EG9.A,0.0,0.99,0.194,0.317,1.0
219_1EG9.A,0.0,0.96,0.063,0.238,1.0
264_1EG9.A,0.0,0.26,0.014,0.041,1.0
346_1EG9.A,0.0,0.51,0.016,0.077,1.0
349_1EG9.A,0.0,0.64,0.015,0.106,1.0
350_1EG9.A,0.0,0.96,0.036,0.226,1.0
354_1EG9.A,0.0,0.9,0.031,0.197,1.0
355_1EG9.A,0.0,0.18,0.046,0.036,1.0
357_1EG9.A,0.0,0.99,0.058,0.25,1.0
360_1EG9.A,0.0,0.83,0.069,0.183,1.0
361_1EG9.A,0.171,0.97,0.106,0.315,1.0
363_1EG9.A,0.0,0.67,0.034,0.118,1.0
364_1EG9.A,0.0,0.69,0.209,0.177,1.0
367_1EG9.A,0.0,0.85,0.024,0.174,1.0
23_1EMV.A,0.185,0.01,0.369,0.065,1.0
27_1EMV.A,0.0,0.03,0.083,0.027,1.0
29_1EMV.A,0.104,0.1,0.072,0.036,1.0
30_1EMV.A,0.104,0.04,0.547,0.092,1.0
41_1EMV.A,0.166,0.01,0.228,0.045,1.0
47_1EMV.A,0.173,0.04,0.195,0.046,1.0
48_1EMV.A,0.603,0.03,0.218,0.087,1.0
50_1EMV.A,0.603,0.03,0.446,0.142,1.0
51_1EMV.A,1.0,0.06,0.513,0.279,1.0
53_1EMV.A,0.649,0.0,0.296,0.102,1.0
54_1EMV.A,0.649,0.22,0.913,0.476,1.0
55_1EMV.A,0.706,0.22,1.0,0.551,1.0
62_1EMV.A,0.0,0.06,0.392,0.059,1.0
240_1ETH.A,0.0,0.26,0.295,0.078,1.0
241_1ETH.A,0.0,0.57,0.392,0.196,1.0
244_1ETH.A,0.563,0.88,0.035,0.357,1.0
247_1ETH.A,0.565,0.97,0.358,0.607,1.0
249_1ETH.A,0.606,0.98,0.124,0.49,1.0
361_1ETH.A,0.0,0.97,0.044,0.234,1.0
366_1ETH.A,0.0,0.95,0.059,0.231,1.0
369_1ETH.A,0.073,0.68,0.016,0.129,1.0
391_1ETH.A,0.0,0.53,0.036,0.085,1.0
400_1ETH.A,0.0,0.9,0.04,0.201,1.0
402_1ETH.A,0.073,0.0,0.007,0.023,1.0
404_1ETH.A,0.159,0.73,0.023,0.163,1.0
440_1ETH.A,0.029,0.83,0.088,0.196,1.0
442_1ETH.A,0.0,0.79,0.041,0.158,1.0
432_1EUV.A,0.0,0.21,0.235,0.06,1.0
433_1EUV.A,0.0,0.0,0.077,0.024,1.0
434_1EUV.A,0.0,0.15,0.214,0.049,1.0
438_1EUV.A,0.0,0.7,0.351,0.238,1.0
448_1EUV.A,0.369,0.95,0.794,0.757,1.0
449_1EUV.A,0.0,0.0,0.098,0.026,1.0
450_1EUV.A,0.104,0.0,0.165,0.035,1.0
451_1EUV.A,0.0,0.59,0.285,0.166,1.0
452_1EUV.A,0.0,0.0,0.136,0.028,1.0
455_1EUV.A,0.0,0.42,0.19,0.091,1.0
472_1EUV.A,0.0,0.71,0.232,0.194,1.0
473_1EUV.A,0.0,0.0,0.052,0.023,1.0
474_1EUV.A,0.112,0.95,0.433,0.468,1.0
477_1EUV.A,0.0,0.65,0.185,0.155,1.0
478_1EUV.A,0.104,0.83,0.356,0.344,1.0
489_1EUV.A,0.0,0.6,0.332,0.186,1.0
490_1EUV.A,0.108,0.45,0.371,0.166,1.0
493_1EUV.A,0.0,0.85,0.286,0.285,1.0
509_1EUV.A,0.131,0.09,0.123,0.042,1.0
512_1EUV.A,0.185,0.84,0.565,0.502,1.0
513_1EUV.A,0.278,0.85,0.58,0.553,1.0
515_1EUV.A,0.258,0.0,0.115,0.039,1.0
574_1EUV.A,0.0,0.0,0.45,0.058,1.0
577_1EUV.A,0.603,0.75,0.797,0.725,1.0
578_1EUV.A,1.0,0.88,0.934,0.905,1.0
579_1EUV.A,0.0,0.0,0.13,0.028,1.0
580_1EUV.A,0.0,0.0,0.118,0.027,1.0
75_1EXB.E,0.389,0.98,0.831,0.792,1.0
78_1EXB.E,0.389,0.98,0.386,0.565,1.0
80_1EXB.E,0.958,0.0,0.433,0.203,1.0
34_1F34.A,0.0,0.0,0.01,0.021,1.0
65_1F34.A,0.0,0.55,0.033,0.089,1.0
66_1F34.A,0.0,0.75,0.039,0.144,1.0
69_1F34.A,0.0,0.68,0.046,0.124,1.0
70_1F34.A,0.0,0.78,0.053,0.158,1.0
71_1F34.A,0.0,0.0,0.013,0.021,1.0
72_1F34.A,0.0,0.86,0.036,0.183,1.0
74_1F34.A,0.282,0.97,0.059,0.328,1.0
75_1F34.A,0.548,0.95,0.057,0.408,1.0
76_1F34.A,0.0,0.88,0.081,0.208,1.0
79_1F34.A,0.079,0.92,0.063,0.24,1.0
86_1F34.A,0.0,0.64,0.038,0.111,1.0
109_1F34.A,0.368,0.97,0.223,0.452,1.0
128_1F34.A,0.0,0.13,0.034,0.031,1.0
130_1F34.A,0.0,0.98,0.023,0.23,1.0
131_1F34.A,0.0,0.17,0.043,0.035,1.0
189_1F34.A,0.0,0.08,0.036,0.027,1.0
218_1F34.A,0.169,0.97,0.008,0.266,1.0
289_1F34.A,0.0,0.87,0.066,0.198,1.0
290_1F34.A,0.0,0.58,0.043,0.097,1.0
292_1F34.A,0.0,0.98,0.043,0.239,1.0
300_1F34.A,0.0,0.0,0.006,0.021,1.0
21_1F60.A,0.0,0.02,0.03,0.023,1.0
64_1F60.A,0.0,0.03,0.103,0.028,1.0
67_1F60.A,0.0,0.2,0.109,0.044,1.0
68_1F60.A,0.0,0.95,0.179,0.286,1.0
70_1F60.A,0.131,0.95,0.411,0.462,1.0
72_1F60.A,0.368,0.39,0.311,0.179,1.0
74_1F60.A,0.81,0.98,0.361,0.699,1.0
75_1F60.A,0.872,0.94,0.597,0.802,1.0
76_1F60.A,0.466,0.95,0.265,0.501,1.0
78_1F60.A,0.117,0.55,0.066,0.112,1.0
89_1F60.A,0.0,0.0,0.014,0.021,1.0
90_1F60.A,0.0,0.05,0.045,0.026,1.0
91_1F60.A,0.0,0.4,0.027,0.06,1.0
92_1F60.A,0.0,0.0,0.01,0.021,1.0
93_1F60.A,0.0,0.54,0.085,0.097,1.0
94_1F60.A,0.0,0.26,0.055,0.045,1.0
95_1F60.A,0.0,0.14,0.211,0.048,1.0
97_1F60.A,0.0,0.02,0.215,0.035,1.0
100_1F60.A,0.0,0.03,0.13,0.03,1.0
250_1F60.A,0.0,0.07,0.795,0.146,1.0
251_1F60.A,0.079,0.34,0.37,0.124,1.0
252_1F60.A,0.279,0.83,1.0,0.764,1.0
289_1F60.A,0.0,0.05,0.071,0.027,1.0
291_1F60.A,0.371,0.01,0.365,0.083,1.0
293_1F60.A,0.371,0.04,0.659,0.167,1.0
294_1F60.A,0.4,0.07,0.61,0.167,1.0
320_1F60.A,0.0,0.36,0.455,0.14,1.0
428_1F60.A,0.0,0.05,0.414,0.061,1.0
167_1F6Y.A,0.0,0.14,0.176,0.044,1.0
170_1F6Y.A,0.0,0.13,0.112,0.037,1.0
173_1F6Y.A,0.0,0.08,0.046,0.028,1.0
174_1F6Y.A,0.0,0.02,0.08,0.026,1.0
181_1F6Y.A,0.0,0.02,0.172,0.032,1.0
204_1F6Y.A,0.0,0.92,0.239,0.3,1.0
205_1F6Y.A,0.0,0.68,0.313,0.213,1.0
209_1F6Y.A,0.0,0.96,0.212,0.309,1.0
213_1F6Y.A,0.0,0.64,0.252,0.173,1.0
216_1F6Y.A,0.0,0.93,0.207,0.29,1.0
217_1F6Y.A,0.0,0.97,0.263,0.341,1.0
241_1F6Y.A,0.0,0.82,0.54,0.405,1.0
244_1F6Y.A,0.341,0.95,0.667,0.687,1.0
245_1F6Y.A,0.193,0.98,0.834,0.74,1.0
246_1F6Y.A,0.273,0.96,0.347,0.484,1.0
247_1F6Y.A,0.187,0.86,0.556,0.511,1.0
249_1F6Y.A,0.273,0.95,0.284,0.44,1.0
251_1F6Y.A,1.0,0.96,1.0,0.932,1.0
253_1F6Y.A,0.287,0.96,0.744,0.714,1.0
251_1FC2.D,0.0,0.0,0.02,0.021,1.0
252_1FC2.D,0.628,0.02,0.063,0.062,1.0
253_1FC2.D,1.0,0.12,0.063,0.133,1.0
254_1FC2.D,0.426,0.02,0.074,0.048,1.0
309_1FC2.D,0.535,0.02,0.018,0.049,1.0
311_1FC2.D,0.704,0.02,0.021,0.063,1.0
432_1FC2.D,0.194,0.0,0.009,0.028,1.0
433_1FC2.D,0.458,0.05,0.053,0.051,1.0
434_1FC2.D,0.676,0.03,0.067,0.069,1.0
435_1FC2.D,0.653,0.05,0.027,0.064,1.0
92_1FFW.A,0.166,0.95,0.151,0.326,1.0
96_1FFW.A,0.084,0.98,0.154,0.318,1.0
100_1FFW.A,0.117,0.6,0.179,0.159,1.0
103_1FFW.A,0.0,0.05,0.104,0.03,1.0
105_1FFW.A,0.117,0.16,0.091,0.045,1.0
106_1FFW.A,0.117,0.22,0.204,0.068,1.0
122_1FFW.A,0.085,0.03,0.132,0.034,1.0
126_1FFW.A,0.117,0.03,0.312,0.054,1.0
178_1FFW.B,0.032,0.86,0.533,0.438,1.0
181_1FFW.B,0.099,0.92,0.466,0.463,1.0
182_1FFW.B,0.244,0.52,0.299,0.198,1.0
203_1FFW.B,0.166,0.46,0.128,0.11,1.0
207_1FFW.B,0.185,0.99,0.318,0.453,1.0
213_1FFW.B,0.347,0.82,0.574,0.556,1.0
214_1FFW.B,0.347,0.93,1.0,0.824,1.0
215_1FFW.B,0.322,0.94,0.512,0.588,1.0
216_1FFW.B,0.0,0.0,0.197,0.032,1.0
217_1FFW.B,0.052,0.98,0.351,0.416,1.0
37_1FIN.A,0.0,0.0,0.041,0.022,1.0
39_1FIN.A,0.0,0.04,0.041,0.025,1.0
40_1FIN.A,0.0,0.02,0.137,0.03,1.0
41_1FIN.A,0.0,0.09,0.254,0.046,1.0
42_1FIN.A,0.0,0.07,0.303,0.049,1.0
44_1FIN.A,0.0,0.05,0.149,0.033,1.0
46_1FIN.A,0.0,0.05,0.359,0.053,1.0
49_1FIN.A,0.0,0.1,0.238,0.046,1.0
50_1FIN.A,0.0,0.0,0.303,0.041,1.0
52_1FIN.A,0.0,0.12,0.037,0.03,1.0
53_1FIN.A,0.0,0.02,0.132,0.029,1.0
56_1FIN.A,0.0,0.02,0.103,0.027,1.0
57_1FIN.A,0.0,0.02,0.179,0.033,1.0
71_1FIN.A,0.4,0.02,0.083,0.047,1.0
119_1FIN.A,0.0,0.0,0.22,0.034,1.0
120_1FIN.A,0.0,0.01,0.412,0.055,1.0
122_1FIN.A,0.0,0.01,0.452,0.06,1.0
150_1FIN.A,0.416,0.09,0.431,0.124,1.0
152_1FIN.A,0.416,0.05,0.617,0.166,1.0
154_1FIN.A,0.548,0.26,0.871,0.44,1.0
156_1FIN.A,0.279,0.0,0.353,0.069,1.0
159_1FIN.A,0.918,0.44,0.614,0.545,1.0
180_1FIN.A,0.051,0.0,0.357,0.051,1.0
181_1FIN.A,0.079,0.02,0.442,0.067,1.0
182_1FIN.A,0.0,0.02,0.337,0.047,1.0
272_1FIN.A,0.0,0.01,0.682,0.1,1.0
276_1FIN.A,0.0,0.01,0.178,0.032,1.0
277_1FIN.A,0.0,0.0,0.018,0.021,1.0
278_1FIN.A,0.0,0.01,0.429,0.057,1.0
57_1FLE.E,0.0,0.89,0.019,0.191,1.0
97_1FLE.E,0.0,0.9,0.053,0.207,1.0
99_1FLE.E,0.341,0.17,0.917,0.328,1.0
172_1FLE.E,0.382,0.0,0.608,0.14,1.0
192_1FLE.E,0.0,0.29,0.036,0.048,1.0
193_1FLE.E,0.0,0.63,0.021,0.106,1.0
195_1FLE.E,0.0,0.85,0.013,0.173,1.0
214_1FLE.E,0.259,0.0,0.008,0.032,1.0
215_1FLE.E,0.155,0.0,0.671,0.115,1.0
216_1FLE.E,0.0,0.85,0.656,0.479,1.0
217_1FLE.E,0.0,0.52,0.673,0.285,1.0
3_1FRV.A,0.0,0.68,0.004,0.115,1.0
4_1FRV.A,0.0,0.78,0.007,0.146,1.0
5_1FRV.A,0.0,0.97,0.011,0.222,1.0
6_1FRV.A,0.0,0.98,0.011,0.227,1.0
13_1FRV.A,0.0,0.0,0.012,0.021,1.0
14_1FRV.A,0.0,0.0,0.017,0.022,1.0
17_1FRV.A,0.0,0.96,0.27,0.336,1.0
18_1FRV.A,0.0,0.92,0.065,0.221,1.0
19_1FRV.A,0.0,0.91,0.101,0.231,1.0
25_1FRV.A,0.0,0.98,0.047,0.242,1.0
26_1FRV.A,0.0,0.98,0.135,0.281,1.0
31_1FRV.A,0.0,0.99,0.097,0.269,1.0
33_1FRV.A,0.0,0.97,0.06,0.243,1.0
38_1FRV.A,0.0,0.92,0.025,0.206,1.0
41_1FRV.A,0.0,0.0,0.005,0.021,1.0
42_1FRV.A,0.0,0.99,0.007,0.23,1.0
43_1FRV.A,0.0,0.55,0.006,0.085,1.0
46_1FRV.A,0.0,0.94,0.018,0.212,1.0
47_1FRV.A,0.0,0.97,0.02,0.226,1.0
48_1FRV.A,0.0,0.96,0.025,0.224,1.0
49_1FRV.A,0.0,0.96,0.017,0.22,1.0
50_1FRV.A,0.0,0.96,0.017,0.22,1.0
51_1FRV.A,0.0,0.97,0.011,0.222,1.0
52_1FRV.A,0.0,0.98,0.012,0.227,1.0
53_1FRV.A,0.0,0.97,0.013,0.223,1.0
54_1FRV.A,0.0,0.99,0.016,0.234,1.0
55_1FRV.A,0.0,0.97,0.004,0.219,1.0
58_1FRV.A,0.0,0.75,0.003,0.135,1.0
83_1FRV.A,0.234,0.98,0.346,0.484,1.0
84_1FRV.A,0.148,0.96,0.395,0.463,1.0
86_1FRV.A,0.112,0.97,0.168,0.331,1.0
88_1FRV.A,0.0,0.77,0.03,0.15,1.0
89_1FRV.A,0.112,0.97,0.054,0.275,1.0
92_1FRV.A,0.112,0.0,0.028,0.027,1.0
118_1FRV.A,0.0,0.96,0.442,0.429,1.0
119_1FRV.A,0.0,0.79,0.196,0.214,1.0
121_1FRV.A,0.0,0.37,0.238,0.09,1.0
122_1FRV.A,0.0,0.91,0.351,0.348,1.0
126_1FRV.A,0.159,0.49,0.22,0.145,1.0
148_1FRV.A,0.0,0.9,0.295,0.314,1.0
149_1FRV.A,0.0,0.93,0.144,0.259,1.0
203_1FRV.A,0.0,0.99,0.762,0.629,1.0
204_1FRV.A,0.0,0.88,0.408,0.36,1.0
209_1FRV.A,0.0,0.98,0.174,0.3,1.0
233_1FRV.A,0.0,0.88,0.115,0.223,1.0
234_1FRV.A,0.0,0.94,0.175,0.278,1.0
235_1FRV.A,0.0,0.8,0.107,0.185,1.0
236_1FRV.A,0.0,0.96,0.143,0.274,1.0
