residue,predus,ispred,dockpred,annotated,rfscore,logreg
111_1AK4.A,0.0,0.0,0.06436,1,0.03260924361528169,0.009818230021268545
121_1AK4.A,0.965,0.97,1.0,1,0.7083636737995183,0.9514825847856735
98_1AT3.A,0.0,0.96,0.39751,1,0.4679431294331223,0.32640074582541845
100_1AT3.A,0.036,0.86,0.53507,1,0.3612968410010559,0.4818870289939581
119_1AT3.A,0.089,0.07,0.53909,1,0.09051040310306091,0.08757633551233283
207_1AT3.A,0.0,0.94,0.10056,1,0.2988967242019607,0.060333477647401317
210_1AT3.A,0.0,0.97,0.12603,1,0.31522417154837207,0.07671803708021428
211_1AT3.A,0.092,0.96,0.20955,1,0.4180736930348969,0.13489287289427204
215_1AT3.A,0.079,0.98,0.20607,1,0.37702820597598297,0.13742674503921037
217_1AT3.A,0.06,0.98,0.5394,1,0.28037416143216887,0.5848283038301709
219_1AT3.A,0.327,0.97,0.44721,1,0.5284894921630265,0.504051637998263
221_1AT3.A,1.0,0.98,1.0,1,0.6981324563523114,0.9888454893402294
222_1AT3.A,0.534,0.98,0.88706,1,0.7788574631194123,0.9605895671848109
223_1AT3.A,0.327,0.97,0.6148,1,0.57740946498872,0.7545741611917364
224_1AT3.A,0.327,0.97,0.75476,1,0.6238722923025175,0.8857060166861233
225_1AT3.A,0.128,0.93,0.55101,1,0.31802417264954375,0.5865016097884845
227_1AT3.A,0.128,0.82,0.68633,1,0.20734462617512783,0.7139742051125684
39_1ATN.A,0.221,0.11,0.15697,1,0.10903353367796799,0.06303648455494494
40_1ATN.A,0.215,0.02,0.19391,1,0.18225312796864263,0.06534467706126242
41_1ATN.A,0.128,0.03,0.20941,1,0.0581207864458096,0.05083159791600993
42_1ATN.A,0.215,0.04,0.19504,1,0.1731360825139632,0.06510167210899265
43_1ATN.A,0.616,0.04,0.30317,1,0.22592493143536432,0.21792747748150357
44_1ATN.A,0.365,0.15,0.3483,1,0.19893126098231081,0.1123498861932682
45_1ATN.A,0.64,0.08,0.41713,1,0.25220905776094077,0.24911780181946203
46_1ATN.A,0.212,0.04,0.41096,1,0.14856339081582978,0.07798415461974455
60_1ATN.A,0.0,0.02,0.128,1,0.04796840313567657,0.031938168974691
61_1ATN.A,0.0,0.06,0.19189,1,0.06038559201485925,0.03352946275141021
62_1ATN.A,0.0,0.04,0.10263,1,0.040421266244643074,0.03105277710979498
63_1ATN.A,0.0,0.1,0.1453,1,0.06438112154304465,0.03181885676931283
64_1ATN.A,0.215,0.04,0.18403,1,0.11309464263367901,0.06447129100397159
202_1ATN.A,0.304,0.64,0.11509,1,0.24587451326899493,0.06871794189498394
203_1ATN.A,0.304,0.34,0.11183,1,0.15911807406959771,0.0735203803064934
207_1ATN.A,0.0,0.24,0.04851,1,0.043335762690333735,0.02813507588599876
128_1AVA.A,1.0,0.97,0.36593,1,0.6435635041420831,0.5815915835574907
138_1AVA.A,0.0,0.44,0.03271,1,0.07671672088799708,0.028933006679976333
140_1AVA.A,0.0,0.86,0.04968,1,0.14735947952930942,0.1961950344428336
141_1AVA.A,0.0,0.82,0.17187,1,0.3404445202414425,0.21842771558747545
142_1AVA.A,0.285,0.86,0.50014,1,0.6456405428194409,0.4772642571492863
143_1AVA.A,0.285,0.96,0.71269,1,0.6328709036207403,0.7261377410854175
144_1AVA.A,0.605,0.96,0.79185,1,0.5466552310641439,0.7857682208625111
145_1AVA.A,0.111,0.98,0.7568,1,0.4215932150312365,0.756382222005225
182_1AVA.A,0.0,0.71,0.52103,1,0.2839177199916686,0.29590088614194365
208_1AVA.A,0.0,0.96,0.71433,1,0.5198433755767662,0.7071799280480365
210_1AVA.A,0.0,0.91,0.13132,1,0.28009785748762295,0.2800962330449549
211_1AVA.A,1.0,0.96,0.732,1,0.7373967118788162,0.7812417159959607
213_1AVA.A,0.184,0.96,0.33824,1,0.48734402636091806,0.48129239381927924
215_1AVA.A,0.164,0.97,0.54377,1,0.5793472706158005,0.6282079556877976
223_1AVA.A,0.001,0.21,0.10761,1,0.24715311604971155,0.011698634103023318
295_1AVA.A,0.0,0.93,0.68726,1,0.33802887303062873,0.6595721167947708
296_1AVA.A,0.0,0.96,1.0,1,0.501722666195718,0.8397422382875279
40_1AVW.A,0.663,0.13,0.37053,1,0.2296677316627824,0.5036985079992634
41_1AVW.A,0.616,0.7,0.65745,1,0.3361003597864656,0.8228988166536306
57_1AVW.A,0.293,0.1,0.83467,1,0.3242895229079219,0.6992880359172602
60_1AVW.A,0.416,0.14,0.78481,1,0.21339286717766673,0.7454067667375285
94_1AVW.A,0.0,0.74,0.72376,1,0.29752425777746444,0.4191098761475893
96_1AVW.A,0.304,0.45,0.79394,1,0.35340242195296073,0.7124915521344162
97_1AVW.A,0.0,0.17,1.0,1,0.214998911936248,0.6488202605595933
99_1AVW.A,0.282,0.99,0.61104,1,0.60010981963518,0.5759483482422855
189_1AVW.A,0.0,0.0,0.01559,1,0.012239366352452033,0.016524901023421624
190_1AVW.A,0.0,0.0,0.03815,1,0.02583913598214998,0.018326712094503796
191_1AVW.A,0.28,0.0,0.21441,1,0.30856731363738155,0.10344416840471027
192_1AVW.A,0.468,0.75,0.85155,1,0.5538452616653767,0.8749205301990488
193_1AVW.A,0.132,0.14,0.4154,1,0.10942924131521906,0.15934313956928933
195_1AVW.A,0.468,0.0,0.33462,1,0.25561975552272964,0.28334972225485366
214_1AVW.A,0.616,0.0,0.27883,1,0.22973668924179563,0.34060323877752874
215_1AVW.A,0.468,0.82,0.54887,1,0.3051387728012964,0.6399114328441312
216_1AVW.A,0.468,0.99,0.55791,1,0.7319377986747303,0.6729124061797035
219_1AVW.A,0.616,0.8,0.58116,1,0.32052239654650094,0.7757789802304255
226_1AVW.A,0.0,0.0,0.00818,1,0.009636134794658224,0.01597197556791985
40_1AVX.A,0.628,0.16,0.40484,1,0.25685214496341363,0.7056852904055103
41_1AVX.A,0.32,0.77,0.71589,1,0.6010965727909078,0.4734386727084363
57_1AVX.A,0.757,0.54,0.98474,1,0.6486057643395745,0.9439957174620298
60_1AVX.A,1.0,0.26,0.89001,1,0.6415751598046825,0.9824448795392872
99_1AVX.A,0.442,0.96,0.69722,1,0.5008482048355338,0.7340570038148841
151_1AVX.A,1.0,0.87,0.68571,1,0.5777252815271712,0.9915884951716208
189_1AVX.A,0.0,0.0,0.02183,1,0.016493537754088926,0.01679458866710631
190_1AVX.A,0.0,0.0,0.03308,1,0.02583755342464023,0.01694888692477395
191_1AVX.A,0.479,0.0,0.28564,1,0.27340495070084075,0.3764053228371253
192_1AVX.A,0.706,0.71,0.8912,1,0.6469823302927621,0.9337462927449659
193_1AVX.A,0.535,0.11,0.45907,1,0.30175056271824724,0.548510464555414
195_1AVX.A,0.801,0.0,0.37696,1,0.21562970308203266,0.8606262228685261
214_1AVX.A,0.0,0.0,0.31335,1,0.09711463641394552,0.02127517065608729
215_1AVX.A,0.535,0.42,0.59976,1,0.2916042924517059,0.6846984778342038
216_1AVX.A,0.706,0.97,0.59294,1,0.5470014778617751,0.9420586951534103
217_1AVX.A,0.704,0.72,0.82222,1,0.3309085882656911,0.9301946921180647
219_1AVX.A,0.704,0.83,0.58723,1,0.4842571160995837,0.9282547600231676
220_1AVX.A,0.0,0.0,0.25946,1,0.09758377822355298,0.020366835879288336
226_1AVX.A,0.0,0.0,0.00929,1,0.00994216283495073,0.01662422451130063
71_1AVZ.B,0.172,0.2,0.49852,1,0.22523879947565245,0.1258250345149437
72_1AVZ.B,0.117,0.21,0.48388,1,0.31298604746277725,0.12893740264634435
73_1AVZ.B,0.172,0.69,0.57497,1,0.31013581413171304,0.7342910517854905
74_1AVZ.B,0.178,0.62,0.47835,1,0.28782497112853916,0.641792335255261
75_1AVZ.B,0.178,0.47,0.51555,1,0.26075096579547935,0.4228247806295582
77_1AVZ.B,0.121,0.44,0.55949,1,0.1491225667759306,0.37412808874336817
82_1AVZ.B,0.121,0.03,0.78935,1,0.09392278321863211,0.050332404844257925
86_1AVZ.B,0.0,0.02,0.56726,1,0.14456338104850772,0.04310690692985499
117_1AVZ.B,0.263,0.66,0.48548,1,0.44830364520525207,0.7047910350424063
118_1AVZ.B,0.2,0.57,0.45471,1,0.366841066770045,0.5721894904518905
120_1AVZ.B,0.112,0.0,0.42959,1,0.06790235353596427,0.03980716968720041
40_1AY7.A,0.375,0.16,0.57448,1,0.29272458031945886,0.03367488397474732
41_1AY7.A,0.335,0.66,0.13871,1,0.20450729297624207,0.5443638787076095
64_1AY7.A,0.285,0.13,0.32094,1,0.19775567211587156,0.06509772477362509
65_1AY7.A,0.496,0.0,0.31113,1,0.2894726413073724,0.13473691895064122
66_1AY7.A,0.377,0.99,0.08134,1,0.28689665712536067,0.8486807314833866
67_1AY7.A,0.171,0.97,0.07008,1,0.4228641753460953,0.6426683387745526
69_1AY7.A,0.0,0.0,0.09599,1,0.04564824588679392,0.029336845784670603
85_1AY7.A,0.103,0.98,0.19306,1,0.3586054211895025,0.40697301800823726
86_1AY7.A,0.08,0.97,0.19104,1,0.4305517481243315,0.37197071934432097
29_1AY7.B,0.377,0.61,0.98731,1,0.6551173580354045,0.3353559911674904
31_1AY7.B,0.287,0.05,0.20992,1,0.16838255839251534,0.18037245834495794
33_1AY7.B,0.061,0.03,0.133,1,0.029147160738145838,0.08342801633596744
34_1AY7.B,0.285,0.02,0.04092,1,0.08129429217716744,0.09374241586298214
35_1AY7.B,0.217,0.03,0.22114,1,0.1708296188195613,0.18295505300074522
36_1AY7.B,0.171,0.0,0.18534,1,0.1562341796107012,0.16597195405136744
38_1AY7.B,0.278,0.01,0.24056,1,0.1540088118726573,0.25084943415616906
39_1AY7.B,0.465,0.03,0.68986,1,0.24261984205692072,0.8565208105021644
76_1AY7.B,0.0,0.01,0.11476,1,0.03062465746570685,0.07432669633052288
3_1B34.A,0.644,0.87,0.86283,1,0.5614963306151382,0.9995548005909575
7_1B34.A,0.485,0.0,0.43548,1,0.23564970364649152,0.8660194175936035
18_1B34.A,0.377,0.0,0.24354,1,0.20525019241021614,0.13604463386948157
20_1B34.A,0.173,0.85,0.34178,1,0.4232140861485215,0.5532605847574138
24_1B34.A,0.18,0.47,0.15421,1,0.2413741826554286,0.03103997464392495
36_1B34.A,0.122,0.96,0.50172,1,0.4194397746473524,0.9921583455996987
62_1B34.A,0.0,0.0,0.17387,1,0.06648038519691152,0.8251356830766755
65_1B34.A,0.285,0.0,0.32502,1,0.2057485957844301,0.841058043145793
66_1B34.A,0.285,0.82,0.91236,1,0.6269679546677087,0.9999993951534075
67_1B34.A,0.18,0.96,1.0,1,0.7543964169396519,0.9999999775025915
68_1B34.A,0.258,0.76,0.80779,1,0.7108720455047348,0.9999944004074595
69_1B34.A,0.029,0.97,0.60056,1,0.3914441073322889,0.9998495089661252
70_1B34.A,0.285,0.96,0.76634,1,0.6298141253983315,0.9999424926396303
72_1B34.A,0.173,0.94,0.43013,1,0.49399086601941844,0.9049703105096893
74_1B34.A,0.0,0.0,0.18282,1,0.08265585759654179,0.8576056128394702
76_1B34.A,0.255,0.98,0.70507,1,0.5273756046506999,0.9997824499987105
77_1B34.A,0.16,0.95,0.38191,1,0.5747749702130043,0.7466521888336316
3_1B3A.A,0.127,0.2,0.92264,1,0.1198738004737066,0.5140935589524089
4_1B3A.A,0.241,0.48,0.578,1,0.2346239589190533,0.7648216502145158
5_1B3A.A,0.077,0.6,0.19316,1,0.15593033874996803,0.553823869397363
6_1B3A.A,0.0,0.7,0.36998,1,0.3361952245223816,0.7732807338167353
7_1B3A.A,0.0,0.64,0.33314,1,0.2503436307495075,0.6685054025516162
8_1B3A.A,0.0,0.87,0.52753,1,0.37745091121960106,0.9473290319277451
10_1B3A.A,0.356,0.87,0.30154,1,0.39423877858099404,0.9634153219574227
12_1B3A.A,0.272,0.11,0.4167,1,0.20678458708021152,0.14823902501119468
13_1B3A.A,0.578,0.05,0.28855,1,0.2533570861733916,0.16660618302684105
14_1B3A.A,0.578,0.02,0.22612,1,0.21285278806734462,0.1174881608881906
33_1B3A.A,0.163,0.03,0.81336,1,0.16527376398732496,0.20828453104253444
50_1B3A.A,0.578,0.38,0.18845,1,0.25623547376949124,0.5722777802909272
1_1B5E.A,0.0,0.83,0.02473,1,0.10457189234621576,0.30210416081628777
3_1B5E.A,0.0,0.97,0.03224,1,0.2667295537626371,0.4164757344098459
4_1B5E.A,0.0,0.96,0.02907,1,0.2589458943604171,0.4062646744893847
6_1B5E.A,0.0,0.82,0.02731,1,0.10773116513240959,0.2962169362672566
14_1B5E.A,0.0,0.98,0.02854,1,0.2938317045808011,0.4226455686699098
23_1B5E.A,0.0,0.94,0.0575,1,0.2186890375096632,0.406473334780817
26_1B5E.A,0.668,0.42,0.21592,1,0.2634244836107546,0.15561888236024812
27_1B5E.A,0.621,0.31,0.16399,1,0.3109313696537515,0.09947434801610668
35_1B5E.A,0.0,0.97,0.13586,1,0.2953590941279503,0.47918001114028685
36_1B5E.A,0.0,0.9,0.01665,1,0.16021556589128255,0.3506278420766895
37_1B5E.A,0.0,0.98,0.16903,1,0.40383792421393916,0.5080893897861192
38_1B5E.A,0.0,0.95,0.08364,1,0.26455690663084547,0.43042854670898795
105_1B5E.A,0.416,0.0,0.13498,1,0.22235584291369004,0.033320891784975624
108_1B5E.A,0.803,0.0,0.17636,1,0.18356265637275104,0.038595972208585086
111_1B5E.A,0.416,0.99,0.2042,1,0.4049716149528223,0.5517648513162202
123_1B5E.A,0.0,0.96,0.0766,1,0.25031583401300006,0.4346380714011457
124_1B5E.A,0.0,0.98,0.20748,1,0.4913945454600451,0.531604161152551
126_1B5E.A,0.0,0.95,0.13609,1,0.27362157560315226,0.4621799556942935
128_1B5E.A,0.0,0.99,0.23444,1,0.5099846619392434,0.5565213292300171
130_1B5E.A,0.0,0.91,0.1702,1,0.3588754360133049,0.4487826343077723
131_1B5E.A,0.0,0.96,0.35301,1,0.44072640820618675,0.6021457936988012
132_1B5E.A,0.0,0.89,0.63955,1,0.45762550036039856,0.7059483607224657
135_1B5E.A,0.0,0.76,0.8853,1,0.19395714345757814,0.7370679551086055
136_1B5E.A,0.0,0.99,1.0,1,0.7415425190103633,0.891206662436976
144_1B5E.A,0.0,0.99,0.17642,1,0.5639141671648543,0.5212054728020878
150_1B5E.A,0.0,0.65,0.13217,1,0.10819045563451192,0.23267752055572163
151_1B5E.A,0.0,0.93,0.07895,1,0.25630740873997937,0.4108624169858385
153_1B5E.A,0.0,0.97,0.04601,1,0.25941532147469004,0.42469886018858083
157_1B5E.A,0.0,0.77,0.01043,1,0.1287121688383649,0.253741329700297
166_1B5E.A,0.0,0.92,0.09249,1,0.22055586681403191,0.4105667412240708
168_1B5E.A,0.0,0.93,0.30166,1,0.5008570822691817,0.5462099115305561
169_1B5E.A,0.0,0.91,0.05773,1,0.2351390517561785,0.381966926376353
213_1B5E.A,0.0,0.95,0.12701,1,0.27716304609989645,0.4566538317439323
214_1B5E.A,0.0,0.0,0.10778,1,0.05663270104821413,0.02962132456320328
216_1B5E.A,0.0,0.0,0.02514,1,0.01587380466638927,0.02432302179739756
218_1B5E.A,0.0,0.0,0.01723,1,0.016471281278101893,0.0238672259056643
26_1B6C.A,0.0,0.0,0.19185,1,0.08886852082274341,0.028816671888480607
36_1B6C.A,0.129,0.16,0.19389,1,0.06316140475070316,0.09628901355942904
37_1B6C.A,0.275,0.3,0.24998,1,0.2673952598122778,0.2936430187744482
42_1B6C.A,0.275,0.65,0.24837,1,0.36807729222429664,0.4616176449178212
46_1B6C.A,0.0,0.51,0.29215,1,0.20842260862744355,0.07844552865382383
53_1B6C.A,0.975,0.66,0.42418,1,0.30533741000360726,0.9933512678078671
54_1B6C.A,0.455,0.28,0.40025,1,0.16978870291009554,0.5990631885092358
55_1B6C.A,0.455,0.22,0.29283,1,0.20509867952583483,0.5691700645354986
59_1B6C.A,0.293,0.0,0.06848,1,0.0824577251183529,0.20353440242958645
82_1B6C.A,0.75,0.23,0.43021,1,0.22497593320010634,0.921624074755083
85_1B6C.A,1.0,0.93,0.40127,1,0.5993149525721143,0.9968239590632519
87_1B6C.A,0.406,0.93,0.51201,1,0.4922471818093265,0.799796426114702
88_1B6C.A,0.46,0.96,0.40212,1,0.5110326487541264,0.8635062071085954
90_1B6C.A,0.455,0.99,0.31336,1,0.6877417187691803,0.8665593735464948
91_1B6C.A,0.0,0.0,0.18591,1,0.10580429602898064,0.028818221434779676
19_1B7B.A,0.0,0.09,0.11497,1,0.046095106697299194,0.02924154074920967
57_1B7B.A,0.0,0.86,0.07685,1,0.17853192125486297,0.2832609478198607
58_1B7B.A,0.0,0.86,0.34024,1,0.3839708088426481,0.3707976688434622
61_1B7B.A,0.0,0.95,0.46857,1,0.4256185418435501,0.49337675763537936
62_1B7B.A,0.0,0.0,0.43306,1,0.09687663935853365,0.034636502504793026
70_1B7B.A,0.0,0.85,0.46929,1,0.40123944210709794,0.40921376290659156
71_1B7B.A,0.0,0.97,0.25738,1,0.5323007484484928,0.43082295104395996
76_1B7B.A,0.0,0.75,0.08699,1,0.17866503245349896,0.21602936844366324
77_1B7B.A,0.376,0.7,0.29459,1,0.2854898902125142,0.38689429290400745
80_1B7B.A,0.597,0.89,0.35961,1,0.5549941643817567,0.6659791052783007
84_1B7B.A,0.621,0.97,0.76334,1,0.6528868029611568,0.834744918101215
88_1B7B.A,1.0,0.98,1.0,1,0.7135154501377735,0.9371940227797692
89_1B7B.A,0.82,0.0,0.57824,1,0.40035157543990274,0.1659730606534316
92_1B7B.A,0.668,0.91,0.51341,1,0.5021865611936679,0.7541720589440611
95_1B7B.A,0.376,0.74,0.24805,1,0.28781578344311026,0.40269256179359186
99_1B7B.A,0.0,0.14,0.12429,1,0.05713622382346208,0.034977637770049065
106_1B7B.A,0.0,0.17,0.18232,1,0.08083924547576574,0.042012400760831285
109_1B7B.A,0.621,0.95,0.36481,1,0.6097132909448796,0.7204564388944303
110_1B7B.A,0.554,0.97,0.18285,1,0.42133999224700225,0.6495550887295461
111_1B7B.A,0.554,0.99,0.49538,1,0.6952802062251494,0.7612484636620809
113_1B7B.A,0.0,0.9,0.14815,1,0.34245569975024337,0.33548956723051004
170_1B7B.A,0.0,0.93,0.04995,1,0.19652667809004196,0.32522128208940604
173_1B7B.A,0.0,0.5,0.02305,1,0.057962566549871024,0.09617328534572263
174_1B7B.A,0.0,0.99,0.07461,1,0.6149367716602925,0.3805103345015076
177_1B7B.A,0.0,0.93,0.02897,1,0.20683709116727889,0.3182763360203566
198_1B7B.A,0.0,0.69,0.02977,1,0.06996918239990356,0.17067582999861258
200_1B7B.A,0.0,0.48,0.05793,1,0.07315054006738324,0.09483849413821177
202_1B7B.A,0.0,0.13,0.073,1,0.04676615695242521,0.03138832905934798
1_1B8A.A,0.45,0.87,0.655,1,0.43563101166065055,0.9370545972485969
2_1B8A.A,0.616,0.93,0.52587,1,0.4837218695620165,0.9443686181055001
3_1B8A.A,0.572,0.96,0.41007,1,0.6398401328316524,0.8999315763904806
6_1B8A.A,0.855,0.63,0.45014,1,0.3262614957696819,0.9405347845968719
24_1B8A.A,0.466,0.99,0.59007,1,0.7259471874555298,0.936914578775585
42_1B8A.A,0.402,0.86,0.49783,1,0.6481122479090261,0.8557350257647939
69_1B8A.A,0.0,0.0,0.0429,1,0.028103150521594067,0.029395095371863446
71_1B8A.A,0.262,0.98,0.35072,1,0.5343732030178177,0.6959723523018235
99_1B8A.A,0.0,0.85,0.51239,1,0.3927748669197012,0.5882028083525398
102_1B8A.A,0.0,0.85,0.18014,1,0.3957619921640883,0.2358923375034551
104_1B8A.A,0.0,0.96,0.02051,1,0.2692913793219289,0.15541479340831602
106_1B8A.A,0.0,0.99,0.06942,1,0.561226437370917,0.19660789829283784
123_1B8A.A,0.0,0.98,0.1721,1,0.5496297949671778,0.2780640369941529
125_1B8A.A,0.282,0.97,0.75746,1,0.64065498346939,0.9402976054151744
129_1B8A.A,0.119,0.75,0.38304,1,0.17329743678492118,0.4992266805820116
134_1B8A.A,0.0,0.96,0.28065,1,0.4663268957954554,0.37910593198629106
140_1B8A.A,0.0,0.0,0.30652,1,0.09715513951274846,0.09265468685817825
141_1B8A.A,0.0,0.65,0.35196,1,0.24690093628277648,0.31420130303732446
144_1B8A.A,0.0,0.0,0.27623,1,0.09549619296172737,0.08156290658278754
145_1B8A.A,0.0,0.87,0.11986,1,0.35615446828984276,0.1956795467275356
148_1B8A.A,0.0,0.89,0.33797,1,0.40240899652652506,0.4089859786709943
155_1B8A.A,0.0,0.28,0.01529,1,0.024106772075069935,0.044446080227724026
158_1B8A.A,0.0,0.77,0.25464,1,0.2692879243015016,0.2707525904927711
160_1B8A.A,0.0,0.56,0.57623,1,0.2410457922663848,0.5186501661266023
162_1B8A.A,0.0,0.86,0.46761,1,0.3717321512560241,0.5423851433099476
163_1B8A.A,0.0,0.89,0.49703,1,0.3926411931291503,0.5902996394132186
164_1B8A.A,0.262,0.98,0.87522,1,0.6615967609142125,0.9625454979763282
166_1B8A.A,0.282,0.98,0.19486,1,0.40521832650166295,0.5455651412898238
177_1B8A.A,0.199,0.95,0.13616,1,0.393297544722678,0.38907396640464303
178_1B8A.A,0.282,0.97,0.59348,1,0.5136520349124221,0.8808786377949508
180_1B8A.A,1.0,0.98,1.0,1,0.7185751833863645,0.9985318897056118
181_1B8A.A,1.0,0.96,0.99391,1,0.6997868351067066,0.9984290307481379
182_1B8A.A,0.929,0.95,0.40406,1,0.6019859524674788,0.969387173496436
194_1B8A.A,0.0,0.94,0.33014,1,0.3886715104467157,0.42435835547579204
197_1B8A.A,0.262,0.95,0.20529,1,0.40521481239515333,0.5244951405100323
200_1B8A.A,0.387,0.66,0.10065,1,0.16505487121301562,0.37678138480503703
201_1B8A.A,0.262,0.96,0.16478,1,0.4028641718023697,0.4827952862062245
202_1B8A.A,0.0,0.99,0.07667,1,0.5828048199115017,0.20194137742764157
203_1B8A.A,0.0,0.89,0.10558,1,0.24272918043212668,0.19160455370102947
204_1B8A.A,0.0,0.84,0.04435,1,0.1547049111243265,0.1392805901245914
225_1B8A.A,0.0,0.0,0.05587,1,0.030542599208674165,0.031150104688513033
226_1B8A.A,0.0,0.87,0.62297,1,0.37381997590103794,0.7122061221230762
235_1B8A.A,0.0,0.0,0.00964,1,0.01359723484745233,0.025321830933422586
236_1B8A.A,0.0,0.91,0.06159,1,0.2544010835518368,0.16760498799499451
238_1B8A.A,0.0,0.57,0.02768,1,0.06718152315257464,0.08056890311537816
242_1B8A.A,0.0,0.21,0.01167,1,0.02469786075948234,0.0382798875908782
394_1B8A.A,0.262,0.98,0.22507,1,0.3887641434741289,0.5618980006297238
397_1B8A.A,0.416,0.96,0.07529,1,0.4106101792223457,0.520508228884945
398_1B8A.A,0.433,0.98,0.16688,1,0.3901956893837648,0.6470993401310368
399_1B8A.A,0.282,0.97,0.07601,1,0.3636073346905184,0.40490380965548894
400_1B8A.A,0.262,0.0,0.04167,1,0.10854776003550269,0.07282838184481084
431_1B8A.A,0.262,0.95,0.58014,1,0.5649383804503154,0.8613257267733115
432_1B8A.A,0.199,0.0,0.0187,1,0.06492980035706923,0.05312734581553389
433_1B8A.A,0.282,0.95,0.03674,1,0.2718365288184118,0.3530011523027213
436_1B8A.A,0.262,0.98,0.38036,1,0.5338459921334638,0.7240917383861137
438_1B8A.A,0.0,0.95,0.74913,1,0.380403964127104,0.8384528854686477
10_1B8J.A,0.135,0.43,0.07072,1,0.06684080724728489,0.23615528472245992
